曲线名称,日期,3月,6月,1年,3年,5年,7年,10年,30年
中债商业银行普通债收益率曲线(AAA),2020-03-05,2.1993,2.4049,2.5439,2.8637,3.0887,3.3321,3.647,4.138
中债国债收益率曲线,2020-03-05,1.7547,1.8476,1.943,2.2815,2.4918,2.6898,2.6829,3.353
中债中短期票据收益率曲线(AAA),2020-03-06,2.3809,2.4463,2.6121,2.971,3.2507,3.4588,3.7508,
中债商业银行普通债收益率曲线(AAA),2020-03-06,2.138,2.3682,2.4822,2.8437,3.0938,3.341,3.618,4.1071
中债国债收益率曲线,2020-03-06,1.6886,1.75,1.913,2.2265,2.4575,2.6231,2.628,3.3061
中债国债收益率曲线,2020-03-09,1.6523,1.6903,1.8806,2.1465,2.3606,2.5158,2.5205,3.1449
中债中短期票据收益率曲线(AAA),2020-03-09,2.2749,2.4026,2.5587,2.9268,3.2097,3.4304,3.7258,
中债商业银行普通债收益率曲线(AAA),2020-03-09,2.0554,2.2638,2.4001,2.7728,3.0134,3.3126,3.593,4.0821
中债中短期票据收益率曲线(AAA),2020-03-10,2.2724,2.4072,2.545,2.9625,3.2023,3.4105,3.7059,
中债商业银行普通债收益率曲线(AAA),2020-03-10,2.079,2.2352,2.3994,2.8314,3.0607,3.2954,3.5731,4.0622
中债国债收益率曲线,2020-03-10,1.6661,1.6991,1.9068,2.187,2.4591,2.6102,2.613,3.2398
中债中短期票据收益率曲线(AAA),2020-03-11,2.2868,2.3929,2.5582,2.9885,3.2123,3.4206,3.7009,
中债商业银行普通债收益率曲线(AAA),2020-03-11,2.0924,2.2768,2.373,2.8422,3.0918,3.3335,3.6112,4.0695
中债国债收益率曲线,2020-03-11,1.7001,1.7211,1.9154,2.2267,2.4539,2.6148,2.6079,3.2118
中债中短期票据收益率曲线(AAA),2020-03-12,2.2858,2.37,2.5671,2.9871,3.2024,3.4157,3.701,
中债商业银行普通债收益率曲线(AAA),2020-03-12,2.1085,2.2778,2.3784,2.8549,3.085,3.3286,3.6113,4.0688
中债国债收益率曲线,2020-03-12,1.6994,1.7625,1.9166,2.2471,2.4769,2.6352,2.6379,3.2277
中债国债收益率曲线,2020-03-13,1.6705,1.7953,1.9234,2.2572,2.5381,2.695,2.6759,3.3002
中债中短期票据收益率曲线(AAA),2020-03-13,2.2701,2.3553,2.5945,3.028,3.2935,3.4758,3.766,
