date,m2_yoy,gdp_yoy,m2_gdp_spread,ma6,q10,q90,signal
2018-10-31,8.0,7.0,1.0,1.2166666666666668,1.6899999999999993,15.153000000000006,紧缩
2018-10-31,8.0,7.0,1.0,1.2166666666666668,1.6899999999999993,15.153000000000006,紧缩
2018-11-30,8.0,7.0,1.0,1.1666666666666667,1.5999999999999996,15.08,紧缩
2018-11-30,8.0,7.0,1.0,1.1666666666666667,1.5999999999999996,15.08,紧缩
2018-12-31,8.1,6.8,1.2999999999999998,1.2166666666666666,1.51,15.032000000000004,紧缩
2018-12-31,8.1,6.8,1.2999999999999998,1.2166666666666666,1.51,15.032000000000004,紧缩
2019-01-31,8.4,6.8,1.6000000000000005,1.2333333333333334,1.52,14.983999999999998,正常
2019-01-31,8.4,6.8,1.6000000000000003,1.2333333333333334,1.52,14.983999999999998,正常
2019-02-28,8.0,6.8,1.2000000000000002,1.2333333333333336,1.3600000000000003,14.936000000000002,紧缩
2019-02-28,8.0,6.8,1.2000000000000002,1.2333333333333336,1.3600000000000005,14.936000000000002,紧缩
2019-03-31,8.6,6.8,1.7999999999999998,1.3166666666666667,1.3800000000000006,14.888000000000003,正常
2019-03-31,8.6,6.8,1.7999999999999998,1.3166666666666669,1.3800000000000006,14.888000000000003,正常
2019-04-30,8.5,6.8,1.7000000000000002,1.4333333333333336,1.4000000000000004,14.84,正常
2019-04-30,8.5,6.8,1.7000000000000002,1.4333333333333336,1.4000000000000004,14.84,正常
2019-05-31,8.5,6.8,1.7000000000000002,1.55,1.4200000000000006,14.792000000000003,正常
2019-05-31,8.5,6.8,1.7000000000000002,1.55,1.4200000000000006,14.792000000000003,正常
2019-06-30,8.5,6.8,1.7000000000000002,1.6166666666666665,1.4400000000000004,14.743999999999998,正常
2019-06-30,8.5,6.8,1.7000000000000002,1.6166666666666665,1.4400000000000004,14.743999999999998,正常
2019-07-31,8.1,6.8,1.2999999999999998,1.5666666666666667,1.3000000000000007,14.696000000000002,紧缩
2019-07-31,8.1,6.8,1.2999999999999998,1.5666666666666669,1.3000000000000007,14.696000000000002,紧缩
2019-08-31,8.2,6.8,1.3999999999999995,1.5999999999999996,1.3000000000000007,14.648000000000003,正常
2019-08-31,8.2,6.8,1.3999999999999997,1.5999999999999996,1.3000000000000007,14.648000000000003,正常
2019-09-30,8.4,6.8,1.6000000000000005,1.5666666666666667,1.3000000000000007,14.6,正常
2019-09-30,8.4,6.8,1.6000000000000003,1.5666666666666669,1.3000000000000007,14.6,正常
2019-10-31,8.4,6.8,1.6000000000000005,1.55,1.3100000000000007,14.450000000000008,正常
2019-10-31,8.4,6.8,1.6000000000000003,1.55,1.3100000000000007,14.450000000000008,正常
