date,social_financing,sf_12m_sum,credit_impulse,ma6,signal
2010-09-30,6004.0,72355.0,-28.293229207960046,-21.7671409374872,信贷收缩
2010-09-30,6004.0,72355.0,-28.29322920796005,-21.7671409374872,信贷收缩
2010-10-31,5877.0,75702.0,-25.501156325345665,-25.05808800448799,信贷收缩
2010-10-31,5877.0,75702.0,-25.501156325345665,-25.05808800448799,信贷收缩
2010-11-30,5689.0,78443.0,-21.390347536777966,-26.995324344105594,信贷收缩
2010-11-30,5689.0,78443.0,-21.390347536777966,-26.9953243441056,信贷收缩
2010-12-31,4807.0,79450.0,-17.19041514232409,-24.82408049573641,信贷收缩
2010-12-31,4807.0,79450.0,-17.19041514232409,-24.82408049573641,信贷收缩
2011-01-31,10263.0,75779.0,-19.125933831376727,-23.268448302003993,信贷收缩
2011-01-31,10263.0,75779.0,-19.125933831376727,-23.268448302004,信贷收缩
2011-02-28,5377.0,74157.0,-17.588682432432435,-21.51496074603616,信贷收缩
2011-02-28,5377.0,74157.0,-17.588682432432435,-21.514960746036156,信贷收缩
2011-03-31,6794.0,75844.0,-0.4292972391067517,-16.870972084560602,信贷收缩
2011-03-31,6794.0,75844.0,-0.42929723910675177,-16.870972084560602,信贷收缩
2011-04-30,7430.0,75534.0,-3.1528470503763173,-13.146253872065714,信贷收缩
2011-04-30,7430.0,75534.0,-3.1528470503763173,-13.146253872065714,信贷收缩
2011-05-31,5516.0,74557.0,-4.189315959237694,-10.279415275809002,信贷收缩
2011-05-31,5516.0,74557.0,-4.189315959237694,-10.279415275809002,信贷收缩
2011-06-30,6339.0,74869.0,9.234023927633505,-5.875342097482736,信贷扩张
2011-06-30,6339.0,74869.0,9.234023927633505,-5.875342097482736,信贷扩张
2011-07-31,4916.0,74458.0,6.101801185590516,-1.670719594654863,信贷扩张
2011-07-31,4916.0,74458.0,6.101801185590516,-1.670719594654863,信贷扩张
2011-08-31,5484.0,74496.0,4.1639866886658,1.9547252588615087,信贷扩张
2011-08-31,5484.0,74496.0,4.1639866886657995,1.9547252588615092,信贷扩张
2011-09-30,4693.0,73185.0,1.1471218298666264,2.2174617703570725,信贷扩张
2011-09-30,4693.0,73185.0,1.1471218298666264,2.2174617703570725,信贷扩张
2011-10-31,5868.0,73176.0,-3.3367678528968825,2.1868083032703116,信贷收缩
2011-10-31,5868.0,73176.0,-3.3367678528968825,2.186808303270312,信贷收缩
2011-11-30,5629.0,73116.0,-6.79091824636997,1.7532079220815986,信贷收缩
2011-11-30,5629.0,73116.0,-6.79091824636997,1.7532079220815986,信贷收缩
2011-12-31,6406.0,74715.0,-5.959723096286973,-0.7790832485718143,信贷收缩
2011-12-31,6406.0,74715.0,-5.959723096286973,-0.7790832485718143,信贷收缩
2012-01-31,7381.0,71833.0,-5.207247390437986,-2.663924677909898,信贷收缩
2012-01-31,7381.0,71833.0,-5.207247390437986,-2.663924677909898,信贷收缩
2012-02-29,7107.0,73563.0,-0.8010032768315911,-3.491423005492796,信贷收缩
2012-02-29,7107.0,73563.0,-0.8010032768315911,-3.491423005492796,信贷收缩
2012-03-31,10114.42,76883.42,1.37047096672116,-3.454198149350374,信贷扩张
