date,m1_yoy,m2_yoy,m1_ma6,m1_ma12,trend
2015-02-28,5.6,12.5,5.1000000000000005,5.708333333333333,下行
2015-03-31,2.9,11.6,4.783333333333333,5.5,下行
2015-04-30,3.7,10.1,4.866666666666666,5.3500000000000005,下行
2015-05-31,4.7,10.8,5.116666666666667,5.266666666666667,下行
2015-06-30,4.3,11.8,5.3,4.883333333333334,上行
2015-07-31,6.6,13.3,4.633333333333334,4.875,下行
2015-08-31,9.3,13.3,5.250000000000001,5.175,上行
2015-09-30,11.4,13.1,6.666666666666667,5.7250000000000005,上行
2015-10-31,14.0,13.5,8.383333333333333,6.625,上行
2015-11-30,15.7,13.7,10.216666666666667,7.666666666666667,上行
2015-12-31,15.2,13.3,12.033333333333333,8.666666666666666,上行
2016-01-31,18.6,14.0,14.033333333333333,9.333333333333334,上行
2016-02-29,17.4,13.3,15.383333333333335,10.316666666666668,上行
2016-03-31,22.1,13.4,17.166666666666668,11.916666666666666,上行
2016-04-30,22.9,12.8,18.650000000000002,13.516666666666667,上行
2016-05-31,23.7,11.8,19.98333333333333,15.1,上行
2016-06-30,24.6,11.8,21.549999999999997,16.791666666666668,上行
2016-07-31,25.4,10.2,22.683333333333334,18.358333333333334,上行
2016-08-31,25.3,11.4,24.0,19.691666666666666,上行
2016-09-30,24.7,11.5,24.433333333333334,20.8,上行
2016-10-31,23.9,11.6,24.599999999999998,21.625,上行
2016-11-30,22.7,11.4,24.433333333333334,22.208333333333332,上行
2016-12-31,21.4,11.3,23.899999999999995,22.724999999999998,上行
2017-01-31,14.5,10.7032,22.083333333333332,22.383333333333336,下行
2017-02-28,21.4,10.45,21.433333333333334,22.716666666666665,下行
2017-03-31,18.8,10.1178,20.45,22.441666666666666,下行
2017-04-30,18.5,9.8426,19.55,22.075,下行
2017-05-31,17.0,9.1289,18.599999999999998,21.516666666666666,下行
2017-06-30,15.0,9.1013,17.533333333333335,20.716666666666665,下行
2017-07-31,15.3,8.89,17.666666666666668,19.875,下行
2017-08-31,14.0,8.5633,16.433333333333334,18.933333333333334,下行
2017-09-30,14.0,8.976,15.633333333333333,18.041666666666668,下行
2017-10-31,13.0,8.8771,14.716666666666667,17.133333333333333,下行
2017-11-30,12.7,9.1148,14.0,16.3,下行
2017-12-31,11.8,8.0654,13.466666666666667,15.5,下行
2018-01-31,15.0,8.6,13.416666666666666,15.541666666666666,下行
2018-02-28,8.5,8.8,12.5,14.466666666666667,下行
2018-03-31,7.1,8.2,11.35,13.491666666666667,下行
2018-04-30,7.2,8.3,10.383333333333333,12.550000000000002,下行
2018-05-31,6.0,8.3,9.266666666666666,11.633333333333335,下行
2018-06-30,6.6,8.0,8.4,10.933333333333332,下行
2018-07-31,5.1,8.5,6.75,10.083333333333334,下行
2018-08-31,3.9,8.2,5.983333333333333,9.241666666666667,下行
2018-09-30,4.0,8.3,5.466666666666666,8.408333333333333,下行
2018-10-31,2.7,8.0,4.716666666666666,7.55,下行
2018-11-30,1.5,8.0,3.9666666666666663,6.616666666666666,下行
2018-12-31,1.5,8.1,3.1166666666666667,5.758333333333333,下行
2019-01-31,0.4,8.4,2.333333333333333,4.541666666666667,下行
2019-02-28,1.6,8.0,1.95,3.966666666666667,下行
2019-03-31,4.6,8.6,2.0500000000000003,3.758333333333333,下行
2019-04-30,2.9,8.5,2.0833333333333335,3.4000000000000004,下行
2019-05-31,3.4,8.5,2.4,3.1833333333333336,下行
2019-06-30,4.4,8.5,2.883333333333333,3.0,下行
2019-07-31,3.1,8.1,3.3333333333333335,2.8333333333333335,上行
2019-08-31,3.4,8.2,3.633333333333333,2.7916666666666665,上行
2019-09-30,3.4,8.4,3.4333333333333336,2.7416666666666667,上行
2019-10-31,3.3,8.4,3.5,2.7916666666666665,上行
2019-11-30,3.5,8.2,3.516666666666667,2.9583333333333335,上行
2019-12-31,4.4,8.7,3.516666666666667,3.2000000000000006,上行
2020-01-31,0.0,8.4,3.0,3.1666666666666665,下行
2020-02-29,4.8,8.8,3.233333333333333,3.4333333333333336,下行
2020-03-31,5.0,10.1,3.5,3.466666666666667,上行
2020-04-30,5.5,11.1,3.8666666666666667,3.6833333333333336,上行
2020-05-31,6.8,11.1,4.416666666666667,3.966666666666667,上行
2020-06-30,6.5,11.1,4.766666666666667,4.141666666666667,上行
2020-07-31,6.9,10.7,5.916666666666667,4.458333333333333,上行
2020-08-31,8.0,10.4,6.45,4.841666666666666,上行
2020-09-30,8.1,10.9,6.966666666666666,5.233333333333333,上行
2020-10-31,9.1,10.5,7.566666666666666,5.716666666666666,上行
2020-11-30,10.0,10.7,8.1,6.258333333333333,上行
2020-12-31,8.6,10.1,8.450000000000001,6.608333333333333,上行
2021-01-31,14.7,9.4,9.749999999999998,7.833333333333333,上行
2021-02-28,7.4,10.1,9.65,8.049999999999999,上行
2021-03-31,7.1,9.4,9.483333333333333,8.225,上行
2021-04-30,6.2,8.1,9.0,8.283333333333333,上行
2021-05-31,6.1,8.3,8.35,8.225,上行
2021-06-30,5.5,8.6,7.833333333333333,8.141666666666667,下行
2021-07-31,4.9,8.3,6.2,7.974999999999999,下行
2021-08-31,4.2,8.2,5.666666666666667,7.658333333333332,下行
2021-09-30,3.7,8.3,5.1,7.291666666666667,下行
2021-10-31,2.8,8.7,4.533333333333333,6.766666666666667,下行
2021-11-30,3.0,8.5,4.016666666666667,6.183333333333334,下行
2021-12-31,3.5,9.0,3.6833333333333336,5.758333333333333,下行
2022-01-31,-1.9,9.8,2.55,4.375,下行
2022-02-28,4.7,9.2,2.6333333333333333,4.15,下行
2022-03-31,4.7,9.7,2.8000000000000003,3.9500000000000006,下行
2022-04-30,5.1,10.5,3.1833333333333336,3.858333333333333,下行
2022-05-31,4.6,11.1,3.4499999999999997,3.733333333333334,下行
2022-06-30,5.8,11.4,3.8333333333333335,3.758333333333334,上行
2022-07-31,6.7,12.0,5.266666666666667,3.908333333333333,上行
2022-08-31,6.1,12.2,5.5,4.066666666666667,上行
2022-09-30,6.4,12.1,5.783333333333334,4.291666666666667,上行
2022-10-31,5.8,11.8,5.8999999999999995,4.541666666666667,上行
2022-11-30,4.6,12.4,5.8999999999999995,4.675,上行
2022-12-31,3.7,11.8,5.55,4.691666666666667,上行
2023-01-31,6.7,12.6,5.55,5.408333333333334,上行
2023-02-28,5.8,12.9,5.5,5.5,震荡
2023-03-31,5.1,12.7,5.283333333333333,5.533333333333334,下行
2023-04-30,5.3,12.4,5.2,5.55,下行
2023-05-31,4.7,11.6,5.216666666666667,5.558333333333334,下行
2023-06-30,3.1,11.3,5.116666666666666,5.333333333333333,下行
2023-07-31,2.3,10.7,4.383333333333334,4.966666666666667,下行
2023-08-31,2.2,10.6,3.783333333333333,4.641666666666667,下行
2023-09-30,2.1,10.3,3.2833333333333337,4.283333333333333,下行
2023-10-31,1.9,10.3,2.716666666666667,3.9583333333333335,下行
2023-11-30,1.3,10.0,2.15,3.6833333333333336,下行
2023-12-31,1.3,9.7,1.8499999999999999,3.483333333333333,下行
2024-01-31,5.9,8.7,2.45,3.4166666666666665,下行
2024-02-29,1.2,8.7,2.283333333333333,3.033333333333333,下行
2024-03-31,1.1,8.3,2.1166666666666667,2.6999999999999997,下行
2024-04-30,-1.4,7.2,1.5666666666666667,2.141666666666667,下行
2024-05-31,-4.2,7.0,0.6500000000000002,1.4000000000000001,下行
2024-06-30,-5.0,6.2,-0.3999999999999999,0.7250000000000002,下行
2024-07-31,-6.6,6.3,-2.4833333333333334,-0.016666666666666385,下行
2024-08-31,-7.3,6.3,-3.9,-0.8083333333333331,下行
2024-09-30,-7.4,6.8,-5.316666666666666,-1.5999999999999996,下行
2024-10-31,-6.1,7.5,-6.1000000000000005,-2.266666666666666,下行
2024-11-30,-3.7,7.1,-6.016666666666666,-2.683333333333333,下行
2024-12-31,-1.4,7.3,-5.416666666666667,-2.908333333333333,下行
2025-01-31,0.4,7.0,-4.25,-3.3666666666666667,下行
2025-02-28,0.1,7.0,-3.016666666666666,-3.4583333333333326,上行
2025-03-31,1.6,7.0,-1.5166666666666668,-3.416666666666666,上行
2025-04-30,1.5,8.0,-0.25,-3.1749999999999994,上行
2025-05-31,2.3,7.9,0.75,-2.633333333333333,上行
2025-06-30,4.6,8.3,1.75,-1.8333333333333333,上行
