date,northbound_net_buy_100m,mean120,std120,upper,lower,trigger,signal_score,signal_text,effective_date
2015-11-10,-27.1369,-0.3662016666666671,28.70647852324823,28.34027685658156,-29.072680189914898,,-1,看空状态,2015-11-11
2015-11-11,-27.920900000000003,-0.5959975000000005,28.810165841799847,28.214168341799848,-29.406163341799846,,-1,看空状态,2015-11-12
2015-11-12,-16.2195,-0.8934491666666672,28.90713047749681,28.013681310830144,-29.800579644163477,,-1,看空状态,2015-11-13
2015-11-13,-2.9679,-1.0632975000000005,28.93703775360435,27.87374025360435,-30.00033525360435,,-1,看空状态,2015-11-16
2015-11-16,-1.8013,-1.3016275000000002,28.832914023159102,27.531286523159103,-30.1345415231591,,-1,看空状态,2015-11-17
2015-11-17,-4.3578,-1.3804150000000004,28.821153913765315,27.440738913765315,-30.201568913765314,,-1,看空状态,2015-11-18
2015-11-18,-2.1648,-1.4103716666666672,28.82237496986604,27.412003303199374,-30.232746636532706,,-1,看空状态,2015-11-19
2015-11-19,-2.6558,-1.3945125000000005,28.82142397201923,27.426911472019228,-30.21593647201923,,-1,看空状态,2015-11-20
2015-11-20,-1.6353,-1.383109166666667,28.82064547686885,27.437536310202184,-30.203754643535518,,-1,看空状态,2015-11-23
2015-11-23,-2.4533,-1.3812350000000004,28.820621504059858,27.439386504059858,-30.201856504059858,,-1,看空状态,2015-11-24
2015-11-24,1.541,-1.4434483333333339,28.814761362864363,27.37131302953103,-30.258209696197696,,-1,看空状态,2015-11-25
2015-11-25,-1.127,-1.5224425000000006,28.793291018783883,27.270848518783882,-30.315733518783883,,-1,看空状态,2015-11-26
2015-11-26,4.5078,-1.698773333333334,28.724887521912247,27.026114188578912,-30.423660855245583,,-1,看空状态,2015-11-27
2015-11-27,1.5917,-1.8922033333333337,28.60301788521928,26.710814551885946,-30.495221218552615,,-1,看空状态,2015-11-30
2015-11-30,31.5765,-2.0308925000000007,28.54489792133949,26.51400542133949,-30.57579042133949,看多触发,1,看多状态,2015-12-01
2015-12-01,6.2839,-2.051953333333334,28.51893372035272,26.466980387019387,-30.570887053686054,,1,看多状态,2015-12-02
2015-12-02,-5.9244,-2.0148333333333337,28.526926025675145,26.51209269234181,-30.54175935900848,,1,看多状态,2015-12-03
2015-12-03,-10.9018,-1.7996300000000007,28.39784788112643,26.59821788112643,-30.19747788112643,,1,看多状态,2015-12-04
2015-12-04,-6.4671,-2.066366666666667,28.33113177064119,26.264765103974522,-30.397498437307856,,1,看多状态,2015-12-07
2015-12-07,-1.7904,-2.263371666666667,28.27836523886924,26.014993572202574,-30.54173690553591,,1,看多状态,2015-12-08
2015-12-08,-6.6967,-2.2974050000000004,28.2752921878456,25.9778871878456,-30.572697187845602,,1,看多状态,2015-12-09
2015-12-09,1.6425999999999998,-2.3558400000000006,28.27709267006593,25.92125267006593,-30.63293267006593,,1,看多状态,2015-12-10
2015-12-10,-4.8474,-2.2510091666666674,28.268329098649954,26.017319931983288,-30.51933826531662,,1,看多状态,2015-12-11
2015-12-11,-3.7662,-2.1755925000000005,28.24906237435643,26.07346987435643,-30.42465487435643,,1,看多状态,2015-12-14
2015-12-14,-5.2791,-2.0994775000000008,28.232223584635545,26.132746084635542,-30.331701084635547,,1,看多状态,2015-12-15
2015-12-15,2.1049,-2.0160700000000005,28.20770700924237,26.19163700924237,-30.22377700924237,,1,看多状态,2015-12-16
2015-12-16,-6.7038,-2.1152950000000006,28.17177181418896,26.05647681418896,-30.28706681418896,,1,看多状态,2015-12-17
2015-12-17,8.8727,-2.0840308333333337,28.164519159058525,26.08048832572519,-30.248549992391858,,1,看多状态,2015-12-18
2015-12-18,-3.0096,-2.1191516666666677,28.14806474005959,26.02891307339292,-30.267216406726256,,1,看多状态,2015-12-21
2015-12-21,-4.5787,-2.0397400000000006,28.131858670423338,26.092118670423336,-30.17159867042334,,1,看多状态,2015-12-22
2015-12-22,-7.6189,-2.074170833333334,28.132421327105515,26.05825049377218,-30.20659216043885,,1,看多状态,2015-12-23
2015-12-23,-3.7183,-2.048507500000001,28.125891712851576,26.077384212851577,-30.174399212851576,,1,看多状态,2015-12-24
2015-12-28,-2.7253,-2.1248625000000008,28.11781557985734,25.992953079857337,-30.242678079857342,,1,看多状态,2015-12-29
2015-12-29,4.9169,-2.791878333333334,27.15018921446729,24.358310881133956,-29.942067547800622,,1,看多状态,2015-12-30
2015-12-30,2.8467,-3.320600833333334,26.35911935702836,23.038518523695025,-29.679720190361692,,1,看多状态,2015-12-31
2015-12-31,-4.9067,-3.033080833333334,26.23533047404914,23.202249640715806,-29.268411307382472,,1,看多状态,2016-01-04
2016-01-04,0.31,-2.771293333333334,26.056500163636766,23.285206830303434,-28.8277934969701,,1,看多状态,2016-01-05
2016-01-05,14.2938,-3.028730000000001,25.869961261669285,22.841231261669286,-28.898691261669285,,1,看多状态,2016-01-06
2016-01-06,-6.5684000000000005,-2.7834983333333336,25.89371430837081,23.110215975037477,-28.677212641704145,,1,看多状态,2016-01-07
2016-01-07,-0.0033,-3.0639016666666667,25.749391812306854,22.685490145640188,-28.81329347897352,,1,看多状态,2016-01-08
2016-01-08,1.5373,-3.645584166666667,24.86273761021947,21.217153443552803,-28.508321776886135,,1,看多状态,2016-01-11
2016-01-11,-5.682799999999999,-2.5058383333333336,21.71559351620102,19.20975518286769,-24.221431849534355,,1,看多状态,2016-01-12
2016-01-12,-8.5657,-1.6900425000000001,19.62485584095494,17.93481334095494,-21.31489834095494,,1,看多状态,2016-01-13
2016-01-13,0.966,-1.2092458333333336,18.71528126024921,17.506035426915876,-19.924527093582544,,1,看多状态,2016-01-14
2016-01-14,-2.9209,-0.8881033333333335,18.414307535799836,17.526204202466502,-19.30241086913317,,1,看多状态,2016-01-15
2016-01-15,-3.4044,-0.6748758333333335,18.23910438589285,17.564228552559516,-18.913980219226186,,1,看多状态,2016-01-18
2016-01-18,0.8090999999999999,-0.5114241666666668,18.12471474038055,17.613290573713883,-18.63613890704722,,1,看多状态,2016-01-19
2016-01-19,2.9988,-0.3736650000000001,18.07087672842387,17.69721172842387,-18.444541728423868,,1,看多状态,2016-01-20
2016-01-20,-8.8077,-0.32087333333333345,18.07140277062373,17.750529437290396,-18.392276103957066,,1,看多状态,2016-01-21
2016-01-21,-2.8932,-0.35011250000000016,18.082360145642877,17.732247645642875,-18.43247264564288,,1,看多状态,2016-01-22
2016-01-22,3.2116,-0.3904600000000001,18.082589794645354,17.692129794645354,-18.473049794645355,,1,看多状态,2016-01-25
2016-01-25,0.5265,-0.33217666666666684,18.082836547245833,17.750659880579168,-18.4150132139125,,1,看多状态,2016-01-26
2016-01-26,-2.6188,-0.2718708333333335,18.07345192238205,17.801581089048714,-18.345322755715383,,1,看多状态,2016-01-27
2016-01-27,43.1987,-0.24174500000000015,18.06644213515302,17.82469713515302,-18.308187135153023,看多触发,1,看多状态,2016-01-28
