date,close,pe_ttm_index,bond_yield_10y_pct,known_date,cpi_chain_index,cpi_known,earnings,deflated_earnings,real_earnings_mean6y,shiller_pe,bond_yield_10y_decimal,shiller_erp,shiller_erp_pct,erp_z6y,erp_mean6y,erp_std6y,signal_score,signal_text,effective_date
2022-12-06,4343.774,11.68,2.9152,2022-11-20,139.2248224467583,139.2248224467583,371.89845890410965,2.671207995588066,338.8742516858673,12.818247412986192,0.029152,0.048861785175257105,4.88617851752571,1.2269660759876402,0.03762353472007839,0.009159381563286124,0,中性,2022-12-07
2022-12-07,4334.523,11.62,2.8702,2022-11-20,139.2248224467583,139.2248224467583,373.0226333907057,2.6792825218603187,338.9195034953438,12.789240380967186,0.028702000000000002,0.049488726752480894,4.948872675248089,1.2942832430691389,0.037628305304893646,0.00916369852665525,0,中性,2022-12-08
2022-12-08,4331.972,11.62,2.8853,2022-11-20,139.2248224467583,139.2248224467583,372.8030981067126,2.677705681752822,338.96449751026904,12.780016880289244,0.028853,0.0493941579941581,4.939415799415809,1.2828397259000501,0.03763311037064981,0.009167978965771931,0,中性,2022-12-09
2022-12-09,4364.923,11.7,2.8903,2022-11-20,139.2248224467583,139.2248224467583,373.07034188034186,2.679625194156808,339.0095367962213,12.875516840175962,0.028902999999999998,0.04876378514059042,4.876378514059041,1.2131130554474252,0.0376374604124631,0.009171712956319359,0,中性,2022-12-12
2022-12-12,4321.828,11.72,2.8902,2022-11-20,139.2248224467583,139.2248224467583,368.7566552901024,2.6486415914167933,339.05185305355354,12.746805425414866,0.028902,0.04954902883630573,4.954902883630573,1.2975852443166662,0.03764228682895427,0.009176076916335298,0,中性,2022-12-13
2022-12-13,4309.503,11.71,2.8952,2022-11-20,139.2248224467583,139.2248224467583,368.0190435525192,2.643343601269488,339.0937072930703,12.708885205809505,0.028952,0.04973310760824864,4.973310760824864,1.3165396033803423,0.037646800350731924,0.009180359805724002,0,中性,2022-12-14
2022-12-14,4312.344,11.71,2.8655,2022-11-20,139.2248224467583,139.2248224467583,368.26165670367203,2.6450862010939242,339.13578719797414,12.715685465192806,0.028655,0.04998802736469403,4.998802736469403,1.343014404225221,0.03765215184905195,0.00918521460144621,0,中性,2022-12-15
2022-12-15,4311.001,11.69,2.8829,2022-11-20,139.2248224467583,139.2248224467583,368.77681779298547,2.6487864111589103,339.17841973994956,12.710127617509611,0.028828999999999997,0.04984841615925155,4.984841615925155,1.3266113891422582,0.037657124386402945,0.009189798815711268,0,中性,2022-12-16
2022-12-16,4307.522,11.7,2.8856,2022-11-20,139.2248224467583,139.2248224467583,368.1642735042735,2.644386733874738,339.22206882908057,12.698236334884141,0.028856000000000003,0.049895093744635674,4.989509374463568,1.3305516086972902,0.03766173221976697,0.009194202949291144,0,中性,2022-12-19
2022-12-19,4233.281,11.49,2.8632,2022-11-20,139.2248224467583,139.2248224467583,368.43176675369887,2.6463080381703685,339.26600869651304,12.477763440742565,0.028632,0.05151056759627179,5.151056759627179,1.5046714198441873,0.037667405366604415,0.00920012306148599,1,看多：席勒股权风险溢价高于1.5个标准差,2022-12-20
2022-12-20,4170.663,11.34,2.8732,2022-12-20,138.94637280186478,138.94637280186478,367.7833333333333,2.646944471575276,338.631341110386,12.316234481794346,0.028732,0.05246164741538361,5.246164741538361,1.606035702941905,0.03767432253769078,0.009207345048809126,1,看多：席勒股权风险溢价高于1.5个标准差,2022-12-21
2022-12-21,4166.024,11.34,2.8606,2022-12-20,138.94637280186478,138.94637280186478,367.37425044091714,2.644000293298672,338.6741592617844,12.300979824031382,0.028606,0.05268833706137659,5.268833706137659,1.6285280176370354,0.03768161102116443,0.009214901971405228,1,看多：席勒股权风险溢价高于1.5个标准差,2022-12-22
2022-12-22,4158.292,11.33,2.8503,2022-12-20,138.94637280186478,138.94637280186478,367.0160635481024,2.641422414613595,338.7166009995561,12.2766111484611,0.028502999999999997,0.05295270368784974,5.295270368784974,1.6549940069818159,0.03768910740800363,0.00922275018245055,1,看多：席勒股权风险溢价高于1.5个标准差,2022-12-23
2022-12-23,4149.107,11.31,2.8251,2022-12-20,138.94637280186478,138.94637280186478,366.8529619805482,2.6402485691632585,338.7585975160377,12.247975491761713,0.028251,0.05339514639150972,5.339514639150972,1.7006260555926385,0.03769669041485818,0.009230986391762003,1,看多：席勒股权风险溢价高于1.5个标准差,2022-12-26
2022-12-26,4176.036,11.36,2.8378,2022-12-20,138.94637280186478,138.94637280186478,367.60880281690146,2.6456883717368105,338.79950281394923,12.325980307867388,0.028378,0.05275144974946318,5.2751449749463175,1.6288366499363145,0.0377036246760597,0.009238388069173068,1,看多：席勒股权风险溢价高于1.5个标准差,2022-12-27
2022-12-27,4219.673,11.48,2.8657,2022-12-20,138.94637280186478,138.94637280186478,367.5673344947735,2.6453899233405567,338.8386972828246,12.453338517229303,0.028657,0.0516427524412021,5.16427524412021,1.5070994831615518,0.03771003424735816,0.009244723622767272,1,看多：席勒股权风险溢价高于1.5个标准差,2022-12-28
2022-12-28,4201.95,11.45,2.8503,2022-12-20,138.94637280186478,138.94637280186478,366.9825327510917,2.641181092754416,338.87729974444545,12.399620757037368,0.028502999999999997,0.05214462782623436,5.2144627826234355,1.5594491467791005,0.037717078335758734,0.009251696036561632,1,看多：席勒股权风险溢价高于1.5个标准差,2022-12-29
