月份,当月,当月-同比增长,当月-环比增长,累计,累计-同比增长
2020年12月份,11458.0,6.38993502,-25.1551375,200309.0,18.64193523
2020年11月份,15309.0,12.29227217,129.76136875,188851.0,19.4767292
2020年10月份,6663.0,21.81792194,-65.24437953,173542.0,20.15488227
2020年09月份,19171.0,8.84919544,34.99753538,166879.0,20.08942403
2020年08月份,14201.0,8.86011411,38.93943841,147708.0,21.72080536
2020年07月份,10221.0,26.40252104,-46.28724578,133507.0,23.2698621
2020年06月份,19029.0,13.69489089,22.75190298,123286.0,23.0171055
2020年05月份,15502.0,30.75833094,-4.5384568,104257.0,24.88607802
2020年04月份,16239.0,85.95351841,-46.56465943,88755.0,23.91411206
2020年03月份,30390.0,55.17456208,321.96612052,72516.0,15.29986223
2020年02月份,7202.0,-5.74090332,-79.37807811,42126.0,-2.73153699
2020年01月份,34924.0,-2.08689029,224.27667052,34924.0,-2.08689029
2019年12月份,10769.81577,16.03573881,-21.00286866,168834.906151,7.73550439
2019年11月份,13633.17324,10.81782406,149.25181354,158065.090381,7.21296599
2019年10月份,5469.638534,-23.40817705,-68.94446018,144431.917141,6.88477385
2019年09月份,17612.4407,22.81180973,35.01107699,138962.278607,8.57502331
2019年08月份,13045.18199,-0.7215885,61.3290178,121349.837907,6.77848722
2019年07月份,8086.072901,-37.12792704,-51.68715244,108304.655917,7.75903222
2019年06月份,16736.89983,-0.30047669,41.17462824,100218.583016,14.34579462
2019年05月份,11855.45876,4.0300789,35.75739077,83481.683186,17.81572757
2019年04月份,8732.827504,-20.51926011,-55.40925687,71626.224426,20.4578298
2019年03月份,19584.39553,71.42350529,156.31872143,62893.396922,29.74583538
2019年02月份,7640.641862,-25.0879703,-78.57865637,43309.001392,16.8942099
2019年01月份,35668.35953,32.84179246,284.29668051,35668.35953,32.84179246
2018年12月份,9281.464384,60.87147054,-24.55522504,156712.410745,13.20501816
2018年11月份,12302.32894,7.64641534,72.27057953,147430.946361,11.13201091
2018年10月份,7141.282611,7.6264382,-50.20373064,135128.617421,11.46058912
2018年09月份,14340.99924,20.6662837,9.14003537,127987.33481,11.68258501
2018年08月份,13139.99871,14.5981459,2.16813128,113646.33557,10.64310161
2018年07月份,12861.15205,40.53507867,-23.38779932,100506.33686,10.14611485
2018年06月份,16787.34188,15.97990156,47.30669945,87645.18481,6.75856503
2018年05月份,11396.18357,-3.26115181,3.72094281,70857.84293,4.78476439
2018年04月份,10987.35054,1.68117457,-3.82699632,59461.65936,6.48212339
2018年03月份,11424.56835,-1.39381275,12.0112183,48474.30882,7.63403056
2018年02月份,10199.48584,-1.1420837,-62.01344836,37049.74047,10.76098302
2018年01月份,26850.25463,16.06978423,365.38345331,26850.25463,16.06978423
2017年12月份,5769.490608,-41.97311036,-49.5164708,138432.388676,11.30478036
2017年11月份,11428.46132,35.03612743,72.23860936,132662.898068,15.93409719
2017年10月份,6635.249415,10.39741165,-44.17049503,121234.436748,14.40846628
2017年09月份,11884.84372,-5.88546234,3.65153641,114599.187333,14.64965008
2017年08月份,11466.15297,43.88092191,25.29178595,102714.343613,17.61913226
2017年07月份,9151.560003,101.12332269,-36.7739672,91248.190643,14.98192565
2017年06月份,14474.35431,10.14561976,22.86853363,82096.63064,9.74237978
2017年05月份,11780.35896,25.6669785,9.01997998,67622.27633,9.65645074
2017年04月份,10805.68806,91.52050855,-6.7354085,55841.91737,6.78634177
