date,shibor_1w,ma60,historical_q10,signal_score
2007-04-12,2.3879,2.107693333333333,,0
2007-04-13,2.4901,2.126306666666667,,0
2007-04-13,2.4901,2.126306666666667,,0
2007-04-16,2.9612,2.1506833333333333,,0
2007-04-16,2.9612,2.1506833333333333,,0
2007-04-17,2.9549,2.174851666666666,,0
2007-04-17,2.9549,2.1748516666666666,,0
2007-04-18,3.3773,2.205331666666667,,0
2007-04-18,3.3773,2.205331666666667,,0
2007-04-19,4.0704,2.2436283333333336,,0
2007-04-19,4.0704,2.2436283333333336,,0
2007-04-20,4.2113,2.28107,,0
2007-04-20,4.2113,2.28107,,0
2007-04-23,4.4717,2.3221633333333336,,0
2007-04-23,4.4717,2.3221633333333336,,0
2007-04-24,4.7138,2.367128333333333,,0
2007-04-24,4.7138,2.3671283333333335,,0
2007-04-25,4.7253,2.4113783333333334,,0
2007-04-25,4.7253,2.4113783333333334,,0
2007-04-26,4.3519,2.4488600000000003,,0
2007-04-26,4.3519,2.4488600000000003,,0
2007-04-27,3.672,2.475023333333333,,0
2007-04-27,3.672,2.475023333333333,,0
2007-04-28,2.2483,2.47763,,0
2007-04-28,2.2483,2.47763,,0
2007-04-29,2.0869,2.4777166666666663,,0
2007-04-29,2.0869,2.4777166666666663,,0
2007-04-30,1.8459,2.475288333333333,,0
2007-04-30,1.8459,2.475288333333333,,0
2007-05-08,1.7977,2.47072,,0
2007-05-08,1.7977,2.47072,,0
2007-05-09,1.7957,2.464406666666666,,0
2007-05-09,1.7957,2.4644066666666666,,0
2007-05-10,1.872,2.453313333333333,,0
2007-05-10,1.872,2.453313333333333,,0
2007-05-11,3.0215,2.4449316666666667,,0
2007-05-11,3.0215,2.4449316666666667,,0
2007-05-14,3.1985,2.4290983333333336,,0
2007-05-14,3.1985,2.4290983333333336,,0
2007-05-15,3.055,2.4055283333333337,,0
2007-05-15,3.055,2.4055283333333337,,0
2007-05-16,2.9977,2.3977866666666667,,0
2007-05-16,2.9977,2.3977866666666667,,0
2007-05-17,2.8732,2.379066666666667,,0
2007-05-17,2.8732,2.379066666666667,,0
2007-05-18,2.5784,2.364011666666667,,0
2007-05-18,2.5784,2.364011666666667,,0
2007-05-21,2.5142,2.37006,,0
2007-05-21,2.5142,2.37006,,0
2007-05-22,2.479,2.386155,,0
2007-05-22,2.479,2.386155,,0
2007-05-23,2.4026,2.377695000000001,,0
2007-05-23,2.4026,2.3776950000000006,,0
2007-05-24,2.374,2.372825,,0
2007-05-24,2.374,2.372825,,0
