date,power_yoy,ma6,ma12,trend
2015-03-31,0.8,3.083333333333333,4.041666666666667,下行
2015-03-31,0.8,3.0833333333333335,4.041666666666667,下行
2015-04-30,0.9,2.583333333333333,3.6666666666666665,下行
2015-04-30,0.9,2.5833333333333335,3.6666666666666665,下行
2015-05-31,1.1,2.1333333333333333,3.3250000000000006,下行
2015-05-31,1.1,2.1333333333333333,3.3250000000000006,下行
2015-06-30,1.3,1.7333333333333334,3.0,下行
2015-06-30,1.3,1.7333333333333334,3.0,下行
2015-07-31,0.8,1.2333333333333334,2.6250000000000004,下行
2015-07-31,0.8,1.2333333333333334,2.6250000000000004,下行
2015-08-31,1.0,0.9833333333333334,2.3000000000000003,下行
2015-08-31,1.0,0.9833333333333334,2.3000000000000003,下行
2015-09-30,0.8,0.9833333333333334,2.033333333333333,下行
2015-09-30,0.8,0.9833333333333334,2.033333333333333,下行
2015-10-31,0.7,0.9500000000000002,1.7666666666666668,下行
2015-10-31,0.7,0.9500000000000002,1.7666666666666668,下行
2015-11-30,0.7,0.8833333333333333,1.5083333333333335,下行
2015-11-30,0.7,0.8833333333333333,1.5083333333333335,下行
2015-12-31,0.5,0.75,1.2416666666666667,下行
2015-12-31,0.5,0.75,1.2416666666666667,下行
2016-02-29,2.0,0.9499999999999998,1.0916666666666668,下行
2016-02-29,2.0,0.9499999999999998,1.0916666666666668,下行
2016-03-31,3.2,1.3166666666666669,1.15,上行
2016-03-31,3.2,1.3166666666666667,1.1500000000000001,上行
2016-04-30,2.9,1.6666666666666667,1.325,上行
2016-04-30,2.9,1.6666666666666667,1.325,上行
2016-05-31,2.7,2.0,1.475,上行
2016-05-31,2.7,2.0,1.4749999999999999,上行
2016-06-30,2.7,2.333333333333333,1.6083333333333334,上行
2016-06-30,2.7,2.333333333333333,1.6083333333333334,上行
2016-07-31,3.6,2.85,1.8,上行
2016-07-31,3.6,2.85,1.8,上行
2016-08-31,4.2,3.216666666666667,2.083333333333333,上行
2016-08-31,4.2,3.216666666666667,2.0833333333333335,上行
2016-09-30,4.5,3.4333333333333336,2.375,上行
2016-09-30,4.5,3.4333333333333336,2.375,上行
2016-10-31,4.8,3.75,2.708333333333333,上行
2016-10-31,4.8,3.75,2.708333333333333,上行
2016-11-30,5.0,4.133333333333334,3.0666666666666664,上行
2016-11-30,5.0,4.133333333333334,3.0666666666666664,上行
2016-12-31,5.0,4.516666666666667,3.4249999999999994,上行
2016-12-31,5.0,4.516666666666667,3.4249999999999994,上行
2017-02-28,6.3,4.966666666666666,3.908333333333333,上行
2017-02-28,6.3,4.966666666666666,3.908333333333333,上行
2017-03-31,6.9,5.416666666666667,4.316666666666666,上行
2017-03-31,6.9,5.416666666666667,4.316666666666666,上行
2017-04-30,6.7,5.783333333333334,4.608333333333333,上行
2017-04-30,6.7,5.783333333333334,4.608333333333333,上行
2017-05-31,6.4,6.05,4.9,上行
2017-05-31,6.4,6.05,4.9,上行
2017-06-30,6.3,6.266666666666667,5.2,上行
2017-06-30,6.3,6.266666666666667,5.2,上行
2017-07-31,6.9,6.583333333333333,5.55,上行
2017-07-31,6.9,6.583333333333333,5.55,上行
2017-08-31,6.8,6.666666666666667,5.816666666666667,上行
2017-08-31,6.8,6.666666666666667,5.816666666666667,上行
2017-09-30,6.9,6.666666666666667,6.041666666666667,上行
2017-09-30,6.9,6.666666666666667,6.041666666666667,上行
2017-10-31,6.7,6.666666666666667,6.2250000000000005,上行
2017-10-31,6.7,6.666666666666667,6.2250000000000005,上行
2017-11-30,6.5,6.683333333333334,6.366666666666667,上行
2017-11-30,6.5,6.683333333333334,6.366666666666667,上行
2017-12-31,6.6,6.733333333333333,6.5,上行
2017-12-31,6.6,6.733333333333333,6.5,上行
2018-02-28,13.3,7.8,7.191666666666667,上行
2018-02-28,13.3,7.8,7.191666666666667,上行
2018-03-31,9.8,8.3,7.483333333333334,上行
2018-03-31,9.8,8.3,7.483333333333334,上行
2018-04-30,9.3,8.700000000000001,7.683333333333334,上行
2018-04-30,9.3,8.700000000000001,7.683333333333334,上行
2018-05-31,9.8,9.216666666666669,7.941666666666666,上行
2018-05-31,9.8,9.216666666666669,7.941666666666666,上行
2018-06-30,9.4,9.7,8.191666666666668,上行
2018-06-30,9.4,9.7,8.191666666666668,上行
2018-07-31,9.0,10.1,8.416666666666666,上行
2018-07-31,9.0,10.1,8.416666666666666,上行
2018-08-31,9.0,9.383333333333333,8.591666666666667,上行
2018-08-31,9.0,9.383333333333333,8.591666666666667,上行
2018-09-30,8.9,9.233333333333334,8.766666666666667,上行
2018-09-30,8.9,9.233333333333334,8.766666666666667,上行
2018-10-31,8.7,9.133333333333336,8.916666666666666,上行
2018-10-31,8.7,9.133333333333336,8.916666666666666,上行
2018-11-30,8.5,8.916666666666666,9.066666666666666,下行
2018-11-30,8.5,8.916666666666666,9.066666666666666,下行
2018-12-31,8.5,8.766666666666667,9.233333333333333,下行
2018-12-31,8.5,8.766666666666667,9.233333333333333,下行
2019-02-28,4.5,8.016666666666667,9.058333333333334,下行
2019-02-28,4.5,8.016666666666667,9.058333333333334,下行
2019-03-31,5.5,7.433333333333334,8.408333333333333,下行
2019-03-31,5.5,7.433333333333334,8.408333333333333,下行
2019-04-30,5.6,6.883333333333334,8.058333333333334,下行
2019-04-30,5.6,6.883333333333334,8.058333333333334,下行
2019-05-31,4.9,6.25,7.691666666666666,下行
2019-05-31,4.9,6.25,7.691666666666666,下行
2019-06-30,5.0,5.666666666666667,7.291666666666667,下行
2019-06-30,5.0,5.666666666666667,7.291666666666667,下行
2019-07-31,4.6,5.016666666666667,6.891666666666667,下行
2019-07-31,4.6,5.016666666666667,6.891666666666667,下行
2019-08-31,4.4,5.0,6.508333333333333,下行
2019-08-31,4.4,5.0,6.508333333333333,下行
2019-09-30,4.4,4.816666666666666,6.125,下行
2019-09-30,4.4,4.816666666666666,6.125,下行
2019-10-31,4.4,4.616666666666666,5.75,下行
2019-10-31,4.4,4.616666666666666,5.75,下行
2019-11-30,4.5,4.55,5.400000000000001,下行
2019-11-30,4.5,4.55,5.400000000000001,下行
2019-12-31,4.5,4.466666666666667,5.066666666666667,下行
2019-12-31,4.5,4.466666666666667,5.066666666666667,下行
2020-02-29,-7.8,2.4000000000000004,3.7083333333333335,下行
2020-02-29,-7.8,2.4000000000000004,3.7083333333333335,下行
2020-03-31,-6.5,0.5833333333333335,2.7916666666666665,下行
2020-03-31,-6.5,0.5833333333333335,2.7916666666666665,下行
2020-04-30,-4.7,-0.9333333333333332,1.9416666666666669,下行
2020-04-30,-4.7,-0.9333333333333332,1.9416666666666669,下行
2020-05-31,-2.8,-2.1333333333333333,1.241666666666667,下行
2020-05-31,-2.8,-2.1333333333333333,1.241666666666667,下行
2020-06-30,-1.3,-3.1,0.7250000000000001,下行
2020-06-30,-1.3,-3.1,0.7250000000000001,下行
2020-07-31,-0.7,-3.966666666666667,0.25,下行
2020-07-31,-0.7,-3.966666666666667,0.25000000000000006,下行
2020-08-31,0.5,-2.583333333333333,-0.0916666666666665,下行
2020-08-31,0.5,-2.583333333333333,-0.0916666666666665,下行
2020-09-30,1.3,-1.2833333333333332,-0.3499999999999999,下行
2020-09-30,1.3,-1.2833333333333332,-0.3499999999999999,下行
2020-10-31,1.8,-0.1999999999999999,-0.5666666666666665,上行
2020-10-31,1.8,-0.1999999999999999,-0.5666666666666665,上行
2020-11-30,2.5,0.6833333333333332,-0.725,上行
2020-11-30,2.5,0.6833333333333332,-0.725,上行
2020-12-31,3.1,1.4166666666666667,-0.8416666666666667,上行
2020-12-31,3.1,1.4166666666666667,-0.8416666666666667,上行
2021-02-28,22.2,5.233333333333333,0.6333333333333333,上行
2021-02-28,22.2,5.233333333333333,0.6333333333333333,上行
2021-03-31,21.2,8.683333333333332,3.0499999999999994,上行
2021-03-31,21.2,8.683333333333332,3.0499999999999994,上行
2021-04-30,19.1,11.65,5.183333333333334,上行
2021-04-30,19.1,11.65,5.183333333333334,上行
2021-05-31,17.7,14.300000000000002,7.05,上行
2021-05-31,17.7,14.300000000000002,7.05,上行
2021-06-30,16.2,16.583333333333332,8.633333333333333,上行
2021-06-30,16.2,16.583333333333332,8.633333333333333,上行
2021-07-31,15.6,18.666666666666668,10.041666666666666,上行
2021-07-31,15.6,18.666666666666668,10.041666666666666,上行
2021-08-31,13.8,17.26666666666667,11.25,上行
2021-08-31,13.8,17.26666666666667,11.25,上行
2021-09-30,12.9,15.883333333333336,12.283333333333331,上行
2021-09-30,12.9,15.883333333333335,12.283333333333333,上行
2021-10-31,12.2,14.733333333333333,13.191666666666665,上行
2021-10-31,12.2,14.733333333333333,13.191666666666665,上行
2021-11-30,11.4,13.683333333333332,13.991666666666667,下行
2021-11-30,11.4,13.683333333333332,13.991666666666667,下行
2021-12-31,10.3,12.7,14.641666666666667,下行
2021-12-31,10.3,12.7,14.641666666666667,下行
2022-02-28,5.8,11.066666666666668,14.866666666666667,下行
2022-02-28,5.8,11.066666666666668,14.866666666666667,下行
2022-03-31,5.0,9.6,13.433333333333332,下行
2022-03-31,5.0,9.6,13.433333333333332,下行
2022-04-30,3.4,8.016666666666667,11.95,下行
2022-04-30,3.4,8.016666666666667,11.950000000000001,下行
2022-05-31,2.5,6.400000000000001,10.566666666666666,下行
2022-05-31,2.5,6.400000000000001,10.566666666666666,下行
2022-06-30,2.9,4.983333333333333,9.333333333333334,下行
2022-06-30,2.9,4.983333333333333,9.333333333333334,下行
2022-07-31,3.4,3.8333333333333335,8.266666666666667,下行
2022-07-31,3.4,3.8333333333333335,8.266666666666667,下行
2022-08-31,4.4,3.6,7.333333333333333,下行
2022-08-31,4.4,3.6,7.333333333333333,下行
2022-09-30,4.0,3.4333333333333336,6.516666666666667,下行
2022-09-30,4.0,3.4333333333333336,6.516666666666667,下行
2022-10-31,3.8,3.5,5.758333333333334,下行
2022-10-31,3.8,3.5,5.758333333333334,下行
