date,electricity_consumption_yoy_pct,available_date,ma6,ma12,signal_score,signal_text,effective_date
2011-08-31,9.09,2011-09-25,11.555,14.618333333333332,-1.0,代理看空：用电量趋势下行,2011-09-26
2011-09-30,11.95,2011-10-25,11.311666666666667,13.816666666666668,-1.0,代理看空：用电量趋势下行,2011-10-26
2011-10-31,11.87,2011-11-25,11.418333333333335,13.118333333333332,-1.0,代理看空：用电量趋势下行,2011-11-28
2011-11-30,11.85,2011-12-25,11.594999999999999,12.494166666666667,-1.0,代理看空：用电量趋势下行,2011-12-26
2011-12-31,11.74,2012-01-25,11.385,11.968333333333334,-1.0,代理看空：用电量趋势下行,2012-01-30
2012-02-29,6.66,2012-03-25,10.526666666666666,11.31,-1.0,代理看空：用电量趋势下行,2012-03-26
2012-03-31,6.8,2012-04-25,10.145,10.85,-1.0,代理看空：用电量趋势下行,2012-04-26
2012-04-30,6.0,2012-05-25,9.153333333333334,10.2325,-1.0,代理看空：用电量趋势下行,2012-05-28
2012-05-31,5.8,2012-06-25,8.141666666666667,9.78,-1.0,代理看空：用电量趋势下行,2012-06-26
2012-06-30,5.5,2012-07-25,7.083333333333333,9.339166666666666,-1.0,代理看空：用电量趋势下行,2012-07-26
2012-07-31,5.4,2012-08-25,6.026666666666666,8.705833333333333,-1.0,代理看空：用电量趋势下行,2012-08-27
2012-08-31,5.1,2012-09-25,5.766666666666667,8.146666666666667,-1.0,代理看空：用电量趋势下行,2012-09-26
2012-09-30,4.8,2012-10-25,5.433333333333334,7.789166666666667,-1.0,代理看空：用电量趋势下行,2012-10-26
2012-10-31,4.9,2012-11-25,5.25,7.201666666666667,-1.0,代理看空：用电量趋势下行,2012-11-26
2012-11-30,5.1,2012-12-25,5.133333333333334,6.637499999999999,-1.0,代理看空：用电量趋势下行,2012-12-26
2012-12-31,5.5,2013-01-25,5.133333333333334,6.108333333333333,-1.0,代理看空：用电量趋势下行,2013-01-28
2013-02-28,5.48,2013-03-25,5.1466666666666665,5.586666666666666,-1.0,代理看空：用电量趋势下行,2013-03-26
2013-03-31,4.25,2013-04-25,5.005,5.385833333333333,-1.0,代理看空：用电量趋势下行,2013-04-26
2013-04-30,4.86,2013-05-25,5.015,5.224166666666666,-1.0,代理看空：用电量趋势下行,2013-05-27
2013-05-31,4.88,2013-06-25,5.011666666666667,5.130833333333333,-1.0,代理看空：用电量趋势下行,2013-06-26
2013-06-30,5.14,2013-07-25,5.0183333333333335,5.075833333333333,-1.0,代理看空：用电量趋势下行,2013-07-26
2013-07-31,5.7,2013-08-25,5.051666666666667,5.0925,-1.0,代理看空：用电量趋势下行,2013-08-26
2013-08-31,6.8,2013-09-25,5.2716666666666665,5.209166666666667,1.0,代理看多：用电量趋势上行,2013-09-26
2013-09-30,7.2,2013-10-25,5.763333333333333,5.384166666666666,1.0,代理看多：用电量趋势上行,2013-10-28
2013-10-31,7.4,2013-11-25,6.1866666666666665,5.600833333333334,1.0,代理看多：用电量趋势上行,2013-11-26
2013-11-30,7.5,2013-12-25,6.623333333333332,5.8175,1.0,代理看多：用电量趋势上行,2013-12-26
2013-12-31,7.5,2014-01-25,7.016666666666666,6.017500000000001,1.0,代理看多：用电量趋势上行,2014-01-27
2014-02-28,4.5,2014-03-25,6.816666666666666,5.934166666666667,1.0,代理看多：用电量趋势上行,2014-03-26
2014-03-31,5.4,2014-04-25,6.583333333333333,5.927499999999999,1.0,代理看多：用电量趋势上行,2014-04-28
2014-04-30,5.2,2014-05-25,6.25,6.006666666666667,1.0,代理看多：用电量趋势上行,2014-05-26
2014-05-31,5.2,2014-06-25,5.883333333333333,6.035,-1.0,代理看空：用电量趋势下行,2014-06-26
2014-06-30,5.3,2014-07-25,5.516666666666667,6.07,-1.0,代理看空：用电量趋势下行,2014-07-28
2014-07-31,4.9,2014-08-25,5.083333333333333,6.050000000000001,-1.0,代理看空：用电量趋势下行,2014-08-26
2014-08-31,4.0,2014-09-25,5.0,5.908333333333334,-1.0,代理看空：用电量趋势下行,2014-09-26
2014-09-30,3.9,2014-10-25,4.75,5.666666666666667,-1.0,代理看空：用电量趋势下行,2014-10-27
2014-10-31,3.8,2014-11-25,4.516666666666667,5.383333333333334,-1.0,代理看空：用电量趋势下行,2014-11-26
2014-11-30,3.7,2014-12-25,4.266666666666667,5.075,-1.0,代理看空：用电量趋势下行,2014-12-26
2014-12-31,3.8,2015-01-25,4.016666666666667,4.766666666666667,-1.0,代理看空：用电量趋势下行,2015-01-26
2015-02-28,2.5,2015-03-25,3.6166666666666667,4.3500000000000005,-1.0,代理看空：用电量趋势下行,2015-03-26
2015-03-31,0.8,2015-04-25,3.0833333333333335,4.041666666666667,-1.0,代理看空：用电量趋势下行,2015-04-27
2015-04-30,0.9,2015-05-25,2.5833333333333335,3.6666666666666665,-1.0,代理看空：用电量趋势下行,2015-05-26
2015-05-31,1.1,2015-06-25,2.1333333333333333,3.3250000000000006,-1.0,代理看空：用电量趋势下行,2015-06-26
2015-06-30,1.3,2015-07-25,1.7333333333333334,3.0,-1.0,代理看空：用电量趋势下行,2015-07-27
2015-07-31,0.8,2015-08-25,1.2333333333333334,2.6250000000000004,-1.0,代理看空：用电量趋势下行,2015-08-26
