date,social_financing_100m,available_date,sf_for_stl,social_financing_sa_100m,seasonal_component,sa_mom_pct,signal_score,signal_text,effective_date
2013-03-31,10625.0,2013-04-20,10625.0,6648.932627432227,3976.067372567773,-4.00237950818243,0,未触发,2013-04-22
2013-04-30,7923.0,2013-05-20,7923.0,6932.855635232559,990.1443647674414,4.270204312627857,0,未触发,2013-05-21
2013-05-31,6694.0,2013-06-20,6694.0,6546.377357639608,147.62264236039226,-5.574590009185821,0,未触发,2013-06-21
2013-06-30,8628.0,2013-07-20,8628.0,6416.068745616567,2211.931254383433,-1.9905453795903028,0,未触发,2013-07-22
2013-07-31,6997.0,2013-08-20,6997.0,7449.752022096111,-452.7520220961113,16.110851012713233,1,看多事件：实时递归季调社融环比超过5%,2013-08-21
2013-08-31,7128.0,2013-09-20,7128.0,7032.856421948446,95.14357805155353,-5.596100365638279,0,未触发,2013-09-23
2013-09-30,7870.0,2013-10-20,7870.0,7965.145011629791,-95.14501162979116,13.256186871266395,1,看多事件：实时递归季调社融环比超过5%,2013-10-21
2013-10-31,5060.0,2013-11-20,5060.0,7233.310660742829,-2173.310660742829,-9.187960166681474,0,未触发,2013-11-21
2013-11-30,6246.0,2013-12-20,6246.0,7937.001915117128,-1691.0019151171282,9.728481014833568,1,看多事件：实时递归季调社融环比超过5%,2013-12-23
2013-12-31,4825.0,2014-01-20,4825.0,8126.946304693591,-3301.9463046935903,2.3931503558628053,0,未触发,2014-01-21
2014-01-31,13190.0,2014-02-20,13190.0,8648.67510330974,4541.324896690259,6.419739703642846,1,看多事件：实时递归季调社融环比超过5%,2014-02-21
2014-02-28,6448.0,2014-03-20,6448.0,7951.812308276054,-1503.812308276054,-8.057451421281925,0,未触发,2014-03-21
2014-03-31,10497.0,2014-04-20,10497.0,6885.789668520252,3611.2103314797478,-13.406033724492106,0,未触发,2014-04-21
2014-04-30,7745.0,2014-05-20,7745.0,7867.583242817134,-122.58324281713456,14.25825680946,1,看多事件：实时递归季调社融环比超过5%,2014-05-21
2014-05-31,8708.0,2014-06-20,8708.0,8470.676682606809,237.323317393191,7.665548888094453,1,看多事件：实时递归季调社融环比超过5%,2014-06-23
2014-06-30,10793.0,2014-07-20,10793.0,8418.551175626133,2374.448824373867,-0.615364143076158,0,未触发,2014-07-21
2014-07-31,3852.0,2014-08-20,3852.0,7744.739288242028,-3892.7392882420286,-8.003893702457532,0,未触发,2014-08-21
2014-08-31,7025.0,2014-09-20,7025.0,7463.073115120575,-438.07311512057476,-3.6368709473419747,0,未触发,2014-09-22
2014-09-30,8572.0,2014-10-20,8572.0,8026.290047096927,545.7099529030725,7.546715988019015,1,看多事件：实时递归季调社融环比超过5%,2014-10-21
2014-10-31,5483.0,2014-11-20,5483.0,8087.988486708206,-2604.9884867082064,0.7687043359913881,0,未触发,2014-11-21
2014-11-30,8527.0,2014-12-20,8527.0,9084.89971056434,-557.8997105643402,12.325823973345852,1,看多事件：实时递归季调社融环比超过5%,2014-12-22
2014-12-31,6973.0,2015-01-20,6973.0,9416.29349961474,-2443.2934996147396,3.647742953783406,0,未触发,2015-01-21
2015-01-31,14707.88398,2015-02-20,14707.88398,9039.907739169897,5667.976240830103,-3.9971753265787835,0,未触发,2015-02-25
2015-02-28,11436.98154,2015-03-20,11436.98154,10775.684649358389,661.296890641611,19.201267980505765,1,看多事件：实时递归季调社融环比超过5%,2015-03-23
2015-03-31,9919.861996,2015-04-20,9919.861996,6030.011157867452,3889.8508381325473,-44.0405751088262,0,未触发,2015-04-21
2015-04-30,8045.060387,2015-05-20,8045.060387,8956.895831548236,-911.8354445482361,48.53862782429565,1,看多事件：实时递归季调社融环比超过5%,2015-05-21
2015-05-31,8510.181814,2015-06-20,8510.181814,8275.795943852938,234.385870147062,-7.6041957002146665,0,未触发,2015-06-23
2015-06-30,13239.5588,2015-07-20,13239.5588,9389.949770479283,3849.6090295207173,13.462799641089651,1,看多事件：实时递归季调社融环比超过5%,2015-07-21
2015-07-31,5890.468935,2015-08-20,5890.468935,9973.211122403703,-4082.742187403703,6.21154922210676,1,看多事件：实时递归季调社融环比超过5%,2015-08-21
2015-08-31,7755.919617,2015-09-20,7755.919617,9378.022689277219,-1622.1030722772184,-5.967871589416774,0,未触发,2015-09-21
2015-09-30,10417.24486,2015-10-20,10417.24486,9384.251105480294,1032.9937545197063,0.066415025954214,0,未触发,2015-10-21
2015-10-31,5573.755665,2015-11-20,5573.755665,9268.069195479104,-3694.313530479103,-1.2380520160350517,0,未触发,2015-11-23
2015-11-30,8872.90243,2015-12-20,8872.90243,9191.936418652283,-319.0339886522828,-0.8214523998586132,0,未触发,2015-12-21
2015-12-31,8323.083231,2016-01-20,8323.083231,10142.073643107127,-1818.990412107127,10.336638344525806,1,看多事件：实时递归季调社融环比超过5%,2016-01-21
2016-01-31,25370.07022,2016-02-20,25370.07022,11372.400023390182,13997.670196609819,12.130915467363268,1,看多事件：实时递归季调社融环比超过5%,2016-02-22
2016-02-29,8105.442309,2016-03-20,8105.442309,10110.665281561262,-2005.2229725612613,-11.094709465318209,0,未触发,2016-03-21
2016-03-31,13175.5618,2016-04-20,13175.5618,10088.495462926323,3087.0663370736756,-0.21927161089358993,0,未触发,2016-04-21
2016-04-30,5642.052719,2016-05-20,5642.052719,8441.838221752098,-2799.7855027520977,-16.322128975776806,0,未触发,2016-05-23
2016-05-31,9374.267688,2016-06-20,9374.267688,9639.866434590946,-265.5987465909458,14.191556167848463,1,看多事件：实时递归季调社融环比超过5%,2016-06-21
2016-06-30,13141.10751,2016-07-20,13141.10751,8991.349771435087,4149.757738564913,-6.727444488533285,0,未触发,2016-07-21
2016-07-31,4550.223157,2016-08-20,4550.223157,9130.938530511557,-4580.715373511557,1.5524783555849853,0,未触发,2016-08-22
2016-08-31,7969.196206,2016-09-20,7969.196206,9556.980313012142,-1587.7841070121424,4.665914473927746,0,未触发,2016-09-21
2016-09-30,12628.06365,2016-10-20,12628.06365,10143.358669998332,2484.704980001669,6.13560285551511,1,看多事件：实时递归季调社融环比超过5%,2016-10-21
2016-10-31,6010.330601,2016-11-20,6010.330601,10015.738525777671,-4005.4079247776717,-1.2581645623764737,0,未触发,2016-11-21
2016-11-30,8463.262045,2016-12-20,8463.262045,9134.212364414652,-670.9503194146533,-8.801409492612255,0,未触发,2016-12-21
2016-12-31,9942.78798,2017-01-20,9942.78798,10234.13724186906,-291.34926186906114,12.041814155093755,1,看多事件：实时递归季调社融环比超过5%,2017-01-23
2017-01-31,23132.85478,2017-02-20,23132.85478,10723.50889185436,12409.34588814564,4.781757742931392,0,未触发,2017-02-21
2017-02-28,10317.31825,2017-03-20,10317.31825,11446.418301530219,-1129.1000515302194,6.741351333470558,1,看多事件：实时递归季调社融环比超过5%,2017-03-21
2017-03-31,11586.05628,2017-04-20,11586.05628,11256.103642217526,329.9526377824743,-1.6626568617298498,0,未触发,2017-04-21
2017-04-30,10805.68806,2017-05-20,10805.68806,11772.16435211462,-966.4762921146199,4.584718889416939,0,未触发,2017-05-22
2017-05-31,11780.35896,2017-06-20,11780.35896,12221.029388581763,-440.6704285817625,3.812935523504768,0,未触发,2017-06-21
2017-06-30,14474.35431,2017-07-20,14474.35431,11421.434968155103,3052.9193418448967,-6.542774712363664,0,未触发,2017-07-21
2017-07-31,9151.560003,2017-08-20,9151.560003,12621.56064887423,-3470.000645874231,10.5076611132076,1,看多事件：实时递归季调社融环比超过5%,2017-08-21
