date,close,turnover_amount,heat_3m,rolling_mean,rolling_std,cold_line,hot_line,zscore,signal
2013-05-23,2582.85,81359908175.0,64681187432.68333,73543945605.21292,29897604578.919765,43646341026.29315,103441550184.13268,-0.2964370656898228,正常
2013-05-24,2597.23,62831235051.0,64630056347.26667,73529143554.26985,29897397067.26168,43631746487.00817,103426540621.53152,-0.2976542468557532,正常
2013-05-24,2597.23,62831235051.0,64630056347.26667,73529143554.26985,29897397067.26168,43631746487.00817,103426540621.53152,-0.29765424685575326,正常
2013-05-27,2599.59,66701652802.0,64814842338.73333,73514595456.1549,29897173892.485184,43617421563.66972,103411769348.64009,-0.29098914662326353,正常
2013-05-27,2599.59,66701652802.0,64814842338.73333,73514595456.1549,29897173892.485184,43617421563.66972,103411769348.64008,-0.2909891466232635,正常
2013-05-28,2644.36,86756736777.0,64871221942.41666,73499629335.99428,29896776727.097214,43602852608.89706,103396406063.09148,-0.2886066104162051,正常
2013-05-28,2644.36,86756736777.0,64871221942.416664,73499629335.99428,29896776727.097214,43602852608.897064,103396406063.09149,-0.2886066104162051,正常
2013-05-29,2642.56,81953853231.0,65160248259.25,73484699406.62418,29896239989.681557,43588459416.94263,103380939396.30573,-0.2784447525925432,正常
2013-05-29,2642.56,81953853231.0,65160248259.25,73484699406.62418,29896239989.681553,43588459416.94263,103380939396.30573,-0.2784447525925432,正常
2013-05-30,2634.32,71045065872.0,64807076402.88333,73469436059.47224,29895756669.71192,43573679389.76032,103365192729.18416,-0.2897521461754788,正常
2013-05-30,2634.32,71045065872.0,64807076402.88333,73469436059.47224,29895756669.71192,43573679389.76032,103365192729.18417,-0.2897521461754788,正常
2013-05-31,2606.43,65904433688.0,64566437835.96667,73454183546.68765,29895392250.09015,43558791296.5975,103349575796.7778,-0.2972948351495266,正常
2013-05-31,2606.43,65904433688.0,64566437835.96667,73454183546.68765,29895392250.09015,43558791296.5975,103349575796.7778,-0.2972948351495266,正常
2013-06-03,2602.62,63008705172.0,63740165526.7,73438962348.16344,29895451894.413364,43543510453.75008,103334414242.5768,-0.3244238239220554,正常
2013-06-03,2602.62,63008705172.0,63740165526.7,73438962348.16344,29895451894.413364,43543510453.75008,103334414242.5768,-0.32442382392205543,正常
2013-06-04,2565.67,63139420045.0,63253203630.53333,73423674542.95677,29895731734.12732,43527942808.82945,103319406277.08408,-0.3401980925863537,正常
2013-06-04,2565.67,63139420045.0,63253203630.53333,73423674542.95677,29895731734.12732,43527942808.82945,103319406277.08409,-0.34019809258635375,正常
2013-06-05,2560.54,47367057838.0,62458506406.51667,73407901115.88788,29896270335.52161,43511630780.36627,103304171451.40948,-0.3662461767467213,正常
2013-06-05,2560.54,47367057838.0,62458506406.51667,73407901115.88788,29896270335.52161,43511630780.36627,103304171451.40948,-0.3662461767467213,正常
2013-06-06,2527.84,54448113429.0,61757673363.76667,73392339332.38675,29897228079.308174,43495111253.07857,103289567411.69492,-0.3891553403464989,正常
2013-06-06,2527.84,54448113429.0,61757673363.76667,73392339332.38675,29897228079.308178,43495111253.07857,103289567411.69493,-0.38915534034649896,正常
2013-06-07,2484.16,61366173745.0,61729533052.76667,73377232656.76189,29898309244.98604,43478923411.77585,103275541901.74792,-0.3895772001203895,正常
2013-06-07,2484.16,61366173745.0,61729533052.76667,73377232656.76189,29898309244.98604,43478923411.77585,103275541901.74792,-0.3895772001203895,正常
2013-06-13,2399.94,64081598112.0,61923211340.45,73362660430.50829,29899414647.778934,43463245782.729355,103262075078.28722,-0.3825977606858622,正常
2013-06-13,2399.94,64081598112.0,61923211340.45,73362660430.50829,29899414647.77893,43463245782.72936,103262075078.28722,-0.3825977606858622,正常
2013-06-14,2416.77,53686779328.0,61623405536.25,73348931605.11984,29900831456.47052,43448100148.64932,103249763061.59036,-0.3921471577116444,正常
2013-06-14,2416.77,53686779328.0,61623405536.25,73348931605.11984,29900831456.47052,43448100148.64932,103249763061.59036,-0.3921471577116444,正常
2013-06-17,2403.84,51983757469.0,61556406100.083336,73335789027.58325,29902373721.311733,43433415306.271515,103238162748.89499,-0.3939280218113463,正常
2013-06-17,2403.84,51983757469.0,61556406100.083336,73335789027.58325,29902373721.311733,43433415306.27152,103238162748.895,-0.3939280218113463,正常
2013-06-18,2418.75,48792090467.0,61537444683.75,73323249174.23514,29904007107.48151,43419242066.75363,103227256281.71664,-0.3941212442909203,正常
2013-06-18,2418.75,48792090467.0,61537444683.75,73323249174.23514,29904007107.48151,43419242066.75363,103227256281.71664,-0.3941212442909203,正常
2013-06-19,2400.76,52979991053.0,61041279912.05,73311418978.29462,29905916580.510773,43405502397.78384,103217335558.8054,-0.4102913560001326,正常
2013-06-19,2400.76,52979991053.0,61041279912.05,73311418978.29462,29905916580.510773,43405502397.783844,103217335558.80539,-0.4102913560001326,正常
2013-06-20,2321.47,52171735063.0,60859249551.45,73300254047.21329,29907938861.238995,43392315185.97429,103208192908.45229,-0.41597665935739103,正常
2013-06-20,2321.47,52171735063.0,60859249551.45,73300254047.21329,29907938861.238995,43392315185.97429,103208192908.45229,-0.415976659357391,正常
2013-06-21,2317.39,53486132980.0,60824001568.03333,73290382536.5497,29910004071.780388,43380378464.76931,103200386608.33008,-0.4167963648081946,正常
2013-06-21,2317.39,53486132980.0,60824001568.03333,73290382536.5497,29910004071.780388,43380378464.76931,103200386608.33008,-0.4167963648081946,正常
2013-06-24,2171.21,73731930536.0,60531683373.63333,73281173261.68204,29912146289.916363,43369026971.76567,103193319551.5984,-0.4262311959990202,正常
2013-06-24,2171.21,73731930536.0,60531683373.63333,73281173261.68204,29912146289.916363,43369026971.76567,103193319551.5984,-0.4262311959990202,正常
2013-06-25,2165.42,87090393952.0,60789145513.88333,73272966724.90642,29914155491.369797,43358811233.53662,103187122216.2762,-0.4173215324305129,正常
2013-06-25,2165.42,87090393952.0,60789145513.88333,73272966724.90642,29914155491.369793,43358811233.53662,103187122216.27621,-0.41732153243051295,正常
2013-06-26,2168.3,67298430249.0,60979416977.28333,73265937459.48923,29916004229.581154,43349933229.90807,103181941689.07037,-0.4107005864792898,正常
2013-06-26,2168.3,67298430249.0,60979416977.28333,73265937459.48923,29916004229.58116,43349933229.90807,103181941689.07036,-0.4107005864792898,正常
2013-06-27,2160.74,62927082416.0,61061452836.7,73260028923.90564,29917680180.85626,43342348743.04938,103177709104.7619,-0.4077380336130231,正常
2013-06-27,2160.74,62927082416.0,61061452836.7,73260028923.90564,29917680180.85626,43342348743.04938,103177709104.7619,-0.4077380336130231,正常
2013-06-28,2200.64,64106048718.0,61041444121.6,73255346152.64493,29919131644.54621,43336214508.09872,103174477797.19112,-0.4082304986706167,正常
2013-06-28,2200.64,64106048718.0,61041444121.6,73255346152.64493,29919131644.54621,43336214508.09872,103174477797.19113,-0.4082304986706167,正常
2013-07-01,2213.32,51874735216.0,60928485603.36667,73250976154.86646,29920530749.799923,43330445405.06653,103171506904.66638,-0.41184064061370923,正常
2013-07-01,2213.32,51874735216.0,60928485603.36667,73250976154.86646,29920530749.799923,43330445405.06653,103171506904.66638,-0.4118406406137092,正常
2013-07-02,2221.98,59632902046.0,60510268985.45,73246986323.90419,29921895296.726177,43325091027.17801,103168881620.63037,-0.4256654604311695,正常
2013-07-02,2221.98,59632902046.0,60510268985.45,73246986323.90419,29921895296.726177,43325091027.17801,103168881620.63036,-0.4256654604311695,正常
2013-07-03,2203.83,59536760190.0,60634955980.61667,73243866756.75566,29923005988.369373,43320860768.38629,103166872745.12503,-0.4213784798572673,正常
2013-07-03,2203.83,59536760190.0,60634955980.61667,73243866756.75566,29923005988.369373,43320860768.38629,103166872745.12505,-0.4213784798572673,正常
2013-07-04,2221.98,67189379203.0,60968781958.03333,73240504347.2389,29924147986.789097,43316356360.449814,103164652334.028,-0.41009429557103144,正常
2013-07-04,2221.98,67189379203.0,60968781958.03333,73240504347.2389,29924147986.789097,43316356360.44981,103164652334.028,-0.4100942955710314,正常
2013-07-05,2226.85,58424400611.0,61015232105.75,73236743230.81026,29925387463.699486,43311355767.11077,103162130694.50974,-0.4083994280737506,正常
2013-07-05,2226.85,58424400611.0,61015232105.75,73236743230.81026,29925387463.69949,43311355767.11077,103162130694.50974,-0.4083994280737506,正常
2013-07-08,2163.62,49288252039.0,61084090982.916664,73233243238.12277,29926551611.468754,43306691626.65402,103159794849.59152,-0.40596565928933115,正常
2013-07-08,2163.62,49288252039.0,61084090982.91666,73233243238.12277,29926551611.46876,43306691626.65402,103159794849.59152,-0.4059656592893311,正常
2013-07-09,2162.67,37246189870.0,60784039185.51667,73229539036.56715,29927804417.79707,43301734618.77008,103157343454.36424,-0.4158507479302277,正常
2013-07-09,2162.67,37246189870.0,60784039185.51667,73229539036.56715,29927804417.79707,43301734618.77008,103157343454.36423,-0.4158507479302277,正常
2013-07-10,2224.06,54373757823.0,60774484556.03333,73224972799.53696,29929266607.91436,43295706191.6226,103154239407.45132,-0.4159971043263477,正常
2013-07-10,2224.06,54373757823.0,60774484556.03333,73224972799.53696,29929266607.91436,43295706191.6226,103154239407.45132,-0.4159971043263477,正常
2013-07-11,2326.69,111329812773.0,61763917758.38333,73220678795.8164,29930523485.514885,43290155310.30152,103151202281.3313,-0.3827785051263024,正常
2013-07-11,2326.69,111329812773.0,61763917758.38333,73220678795.8164,29930523485.514885,43290155310.30152,103151202281.3313,-0.38277850512630246,正常
2013-07-12,2275.37,82064555657.0,62414327863.2,73216346933.20038,29931693106.68909,43284653826.51128,103148040039.88948,-0.3608890092350426,正常
2013-07-12,2275.37,82064555657.0,62414327863.2,73216346933.20038,29931693106.689095,43284653826.511284,103148040039.88947,-0.3608890092350426,正常
2013-07-15,2307.3,71796189674.0,62937130227.316666,73212026238.47572,29932784533.803,43279241704.67273,103144810772.27872,-0.3432656256739379,正常
2013-07-15,2307.3,71796189674.0,62937130227.316666,73212026238.47572,29932784533.802998,43279241704.67273,103144810772.27872,-0.3432656256739379,正常
2013-07-16,2317.85,62085631916.0,63237143370.23333,73208047105.53395,29933777808.16327,43274269297.37068,103141824913.69722,-0.3330987421367659,正常
2013-07-16,2317.85,62085631916.0,63237143370.23333,73208047105.53395,29933777808.16327,43274269297.37068,103141824913.69722,-0.3330987421367659,正常
2013-07-17,2282.84,63229061677.0,63394573478.21667,73203852285.33817,29934783178.53398,43269069106.80418,103138635463.87216,-0.3276883199259536,正常
2013-07-17,2282.84,63229061677.0,63394573478.21667,73203852285.33817,29934783178.53398,43269069106.804184,103138635463.87215,-0.3276883199259536,正常
2013-07-18,2245.33,51937235147.0,63480180199.833336,73199217208.756,29935837097.22916,43263380111.52684,103135054305.98515,-0.32466227609924586,正常
2013-07-18,2245.33,51937235147.0,63480180199.833336,73199217208.756,29935837097.22916,43263380111.52684,103135054305.98515,-0.3246622760992458,正常
2013-07-19,2190.48,66179072656.0,63811995791.45,73194320418.35124,29936868394.49175,43257452023.8595,103131188812.84299,-0.3134036768063406,正常
2013-07-19,2190.48,66179072656.0,63811995791.45,73194320418.35124,29936868394.49175,43257452023.8595,103131188812.843,-0.3134036768063406,正常
2013-07-22,2202.19,48872947253.0,63347816991.26667,73188553484.58592,29938065680.5174,43250487804.06853,103126619165.10332,-0.3287031499741563,正常
2013-07-22,2202.19,48872947253.0,63347816991.26667,73188553484.58592,29938065680.5174,43250487804.06853,103126619165.10332,-0.3287031499741563,正常
2013-07-23,2265.84,69255423111.0,63451623641.6,73182605031.67134,29939256057.17308,43243348974.49826,103121861088.84442,-0.3250241546245742,正常
2013-07-23,2265.84,69255423111.0,63451623641.6,73182605031.67134,29939256057.17308,43243348974.49826,103121861088.84442,-0.3250241546245742,正常
2013-07-24,2249.15,69279825849.0,63580018107.6,73176863352.2083,29940404248.035854,43236459104.17244,103117267600.24416,-0.3205315855158459,正常
2013-07-24,2249.15,69279825849.0,63580018107.6,73176863352.2083,29940404248.03585,43236459104.17244,103117267600.24416,-0.3205315855158459,正常
2013-07-25,2237.68,60558362762.0,63552833791.86667,73171566039.74873,29941516942.609257,43230049097.13948,103113082982.358,-0.3212506656332369,正常
2013-07-25,2237.68,60558362762.0,63552833791.86667,73171566039.74873,29941516942.609257,43230049097.13948,103113082982.35799,-0.32125066563323695,正常
2013-07-26,2224.01,45636069902.0,63315246882.46667,73166124611.80524,29942685586.71284,43223439025.0924,103108810198.51808,-0.3289911220825806,正常
2013-07-26,2224.01,45636069902.0,63315246882.46667,73166124611.80524,29942685586.712837,43223439025.0924,103108810198.51807,-0.3289911220825806,正常
2013-07-29,2175.97,49624613440.0,63369790662.11667,73160831383.12239,29943828277.109413,43217003106.01298,103104659660.2318,-0.3269802588498843,正常
2013-07-29,2175.97,49624613440.0,63369790662.11667,73160831383.12239,29943828277.109413,43217003106.01298,103104659660.23181,-0.32698025884988435,正常
2013-07-30,2189.39,50907227289.0,63431570313.53333,73155574519.85165,29944955318.107544,43210619201.74411,103100529837.9592,-0.3247292942340198,正常
2013-07-30,2189.39,50907227289.0,63431570313.53333,73155574519.85165,29944955318.107544,43210619201.74411,103100529837.9592,-0.3247292942340198,正常
2013-07-31,2193.02,46723493389.0,63155844492.416664,73150298498.5207,29946131984.106915,43204166514.41379,103096430482.62762,-0.3337477444969629,正常
2013-07-31,2193.02,46723493389.0,63155844492.41666,73150298498.5207,29946131984.106915,43204166514.41379,103096430482.62762,-0.3337477444969629,正常
2013-08-01,2245.36,58944765673.0,63108791401.98333,73145180729.79607,29947297522.175423,43197883207.62064,103092478251.9715,-0.3351350591946059,正常
2013-08-01,2245.36,58944765673.0,63108791401.98333,73145180729.79607,29947297522.175423,43197883207.62064,103092478251.9715,-0.33513505919460596,正常
2013-08-02,2247.26,58459999450.0,63095708901.66666,73140191153.20409,29948448626.29605,43191742526.90804,103088639779.50014,-0.3353924063605059,正常
2013-08-02,2247.26,58459999450.0,63095708901.666664,73140191153.20409,29948448626.296055,43191742526.908035,103088639779.50014,-0.33539240636050593,正常
2013-08-05,2278.33,53623068581.0,62984274230.666664,73135077161.24242,29949633172.44081,43185443988.801605,103084710333.68323,-0.3389291238437058,正常
2013-08-05,2278.33,53623068581.0,62984274230.66666,73135077161.24242,29949633172.44081,43185443988.801605,103084710333.68324,-0.3389291238437058,正常
2013-08-06,2293.64,68993574807.0,63060195601.43333,73130461201.30122,29950738254.05704,43179722947.24419,103081199455.35826,-0.3362276253241871,正常
2013-08-06,2293.64,68993574807.0,63060195601.433334,73130461201.30122,29950738254.057037,43179722947.24419,103081199455.35826,-0.33622762532418715,正常
2013-08-07,2280.62,69560482114.0,63371258816.316666,73126643320.6837,29951676161.578445,43174967159.105255,103078319482.26215,-0.32570412593072484,正常
2013-08-07,2280.62,69560482114.0,63371258816.316666,73126643320.6837,29951676161.578445,43174967159.105255,103078319482.26216,-0.3257041259307248,正常
2013-08-08,2276.78,52710276666.0,63330511873.683334,73123209935.8957,29952551635.124523,43170658300.77118,103075761571.02023,-0.32694036159272477,正常
2013-08-08,2276.78,52710276666.0,63330511873.68333,73123209935.8957,29952551635.124523,43170658300.77118,103075761571.02023,-0.3269403615927247,正常
2013-08-09,2286.01,62663979060.0,63439168632.566666,73120351069.90364,29953304487.211952,43167046582.69169,103073655557.1156,-0.3232091618295467,正常
2013-08-09,2286.01,62663979060.0,63439168632.566666,73120351069.90364,29953304487.211952,43167046582.69169,103073655557.1156,-0.3232091618295467,正常
2013-08-12,2352.79,94038910336.0,64213507377.76667,73118339413.63585,29953817889.60891,43164521524.02694,103072157303.24475,-0.2972853767318355,正常
2013-08-12,2352.79,94038910336.0,64213507377.76667,73118339413.63585,29953817889.60891,43164521524.02694,103072157303.24477,-0.2972853767318355,正常
2013-08-13,2359.07,71178520240.0,64119308776.65,73116578148.19008,29954282096.319927,43162296051.87015,103070860244.51001,-0.30036671693912664,正常
2013-08-13,2359.07,71178520240.0,64119308776.65,73116578148.19008,29954282096.319927,43162296051.87015,103070860244.51,-0.3003667169391266,正常
2013-08-14,2349.08,71338219589.0,63914956304.666664,73114946308.21434,29954727678.976433,43160218629.23791,103069673987.19077,-0.3071298161059445,正常
2013-08-14,2349.08,71338219589.0,63914956304.66666,73114946308.21434,29954727678.97644,43160218629.23791,103069673987.19077,-0.3071298161059445,正常
2013-08-15,2321.58,59411203587.0,63337486100.51667,73112986904.1488,29955286872.07376,43157700032.07504,103068273776.22256,-0.3263364108439062,正常
2013-08-15,2321.58,59411203587.0,63337486100.51667,73112986904.1488,29955286872.073757,43157700032.07504,103068273776.22256,-0.32633641084390624,正常
2013-08-16,2304.14,104026773370.0,63807302092.583336,73111733345.23257,29955643499.107864,43156089846.12471,103067376844.34044,-0.3106069563461837,正常
2013-08-16,2304.14,104026773370.0,63807302092.583336,73111733345.23257,29955643499.107864,43156089846.12471,103067376844.34044,-0.31060695634618374,正常
2013-08-19,2331.43,67064925390.0,63621315408.73333,73110368511.99104,29956037002.236584,43154331509.754456,103066405514.22765,-0.3167659694955391,正常
2013-08-19,2331.43,67064925390.0,63621315408.73333,73110368511.99104,29956037002.236584,43154331509.754456,103066405514.22763,-0.3167659694955391,正常
2013-08-20,2312.47,67589707172.0,63391812058.68333,73109075264.64243,29956421668.09211,43152653596.55032,103065496932.73453,-0.3243799714673322,正常
2013-08-20,2312.47,67589707172.0,63391812058.683334,73109075264.64243,29956421668.09211,43152653596.550316,103065496932.73453,-0.3243799714673322,正常
2013-08-21,2308.59,50886495497.0,63192733066.11667,73107951103.31677,29956767468.498657,43151183634.818115,103064718571.81543,-0.330984244132033,正常
2013-08-21,2308.59,50886495497.0,63192733066.11667,73107951103.31677,29956767468.498657,43151183634.81812,103064718571.81544,-0.330984244132033,正常
2013-08-22,2303.93,51686310590.0,62942477362.583336,73107114999.0063,29957036689.70561,43150078309.30069,103064151688.71191,-0.3393071798692267,正常
2013-08-22,2303.93,51686310590.0,62942477362.583336,73107114999.0063,29957036689.70561,43150078309.30069,103064151688.71191,-0.33930717986922676,正常
