date,earnings_yield,pe_ttm,bond_yield_10y,erp,q10,q25,q50,q75,q90,signal
2007-02-26,2.679528403001072,37.32,3.12,-0.4404715969989281,,,,,,正常
2007-02-26,2.679528403001072,37.32,3.12,-0.4404715969989281,,,,,,正常
2007-02-27,2.942907592701589,33.98,3.1468,-0.2038924072984103,,,,,,正常
2007-02-27,2.9429075927015895,33.98,3.1468,-0.2038924072984103,,,,,,正常
2007-02-28,2.8328611898017,35.3,3.1466,-0.31373881019829986,,,,,,正常
2007-02-28,2.8328611898017,35.3,3.1466,-0.3137388101982998,,,,,,正常
2007-03-01,2.9197080291970803,34.25,3.1553,-0.23559197080291971,,,,,,正常
2007-03-01,2.9197080291970803,34.25,3.1553,-0.2355919708029197,,,,,,正常
2007-03-02,2.886836027713626,34.64,3.1683,-0.2814639722863741,,,,,,正常
2007-03-02,2.886836027713626,34.64,3.1683,-0.2814639722863741,,,,,,正常
2007-03-05,2.935995302407516,34.06,3.1726,-0.23660469759248404,,,,,,正常
2007-03-05,2.935995302407516,34.06,3.1726,-0.236604697592484,,,,,,正常
2007-03-06,2.886836027713626,34.64,3.179,-0.29216397228637403,,,,,,正常
2007-03-06,2.886836027713626,34.64,3.179,-0.292163972286374,,,,,,正常
2007-03-07,2.831257078142696,35.32,3.19,-0.3587429218573046,,,,,,正常
2007-03-07,2.8312570781426953,35.32,3.19,-0.3587429218573046,,,,,,正常
2007-03-08,2.8097780275358244,35.59,3.2192,-0.40942197246417544,,,,,,正常
2007-03-08,2.8097780275358244,35.59,3.2192,-0.4094219724641754,,,,,,正常
2007-03-09,2.810567734682406,35.58,3.223,-0.412432265317594,,,,,,正常
2007-03-09,2.810567734682406,35.58,3.223,-0.412432265317594,,,,,,正常
2007-03-12,2.805049088359046,35.65,3.2278,-0.4227509116409536,,,,,,正常
2007-03-12,2.805049088359046,35.65,3.2278,-0.4227509116409536,,,,,,正常
2007-03-13,2.8011204481792715,35.7,3.2051,-0.4039795518207283,,,,,,正常
2007-03-13,2.8011204481792715,35.7,3.2051,-0.4039795518207283,,,,,,正常
2007-03-14,2.862049227246709,34.94,3.2332,-0.3711507727532912,,,,,,正常
