date,qvix
2017-12-12,15.24
2017-12-13,15.15
2017-12-14,15.0
2017-12-15,15.18
2017-12-18,15.35
2017-12-19,15.12
2017-12-20,15.31
2017-12-21,14.76
2017-12-22,14.69
2017-12-25,15.32
2017-12-26,15.13
2017-12-27,16.79
2017-12-28,15.51
2017-12-29,14.27
2018-01-02,15.03
2018-01-03,14.81
2018-01-04,14.67
2018-01-05,14.45
2018-01-08,14.81
2018-01-09,14.27
2018-01-10,14.64
2018-01-11,14.95
2018-01-12,14.32
2018-01-15,15.46
2018-01-16,15.99
2018-01-17,16.9
2018-01-18,18.89
2018-01-19,18.88
2018-01-22,18.88
2018-01-23,19.28
2018-01-24,21.04
2018-01-25,18.78
2018-01-26,17.11
2018-01-29,18.49
2018-01-30,16.08
2018-01-31,17.15
2018-02-01,16.79
2018-02-02,17.03
2018-02-05,18.55
2018-02-06,22.2
2018-02-07,24.06
2018-02-08,25.67
2018-02-09,33.06
2018-02-12,28.19
2018-02-13,27.53
2018-02-14,27.32
2018-02-22,27.07
2018-02-23,23.97
2018-02-26,24.32
2018-02-27,25.59
2018-02-28,25.97
2018-03-01,24.08
2018-03-02,23.6
2018-03-05,22.17
2018-03-06,21.15
2018-03-07,21.85
2018-03-08,20.93
2018-03-09,20.38
2018-03-12,21.29
2018-03-13,21.69
2018-03-14,20.81
2018-03-15,20.17
2018-03-16,20.59
2018-03-19,20.81
2018-03-20,20.59
2018-03-21,21.11
2018-03-22,20.57
2018-03-23,23.15
2018-03-26,23.11
2018-03-27,21.79
2018-03-28,21.4
2018-03-29,25.38
2018-03-30,24.85
2018-04-02,24.47
2018-04-03,24.38
2018-04-04,24.1
2018-04-09,24.66
2018-04-10,23.01
2018-04-11,23.21
2018-04-12,23.69
2018-04-13,23.79
2018-04-16,25.25
2018-04-17,25.32
2018-04-18,24.9
2018-04-19,23.3
2018-04-20,22.6
2018-04-23,22.51
2018-04-24,22.56
2018-04-25,22.3
2018-04-26,22.6
2018-04-27,23.39
2018-05-02,25.13
2018-05-03,25.3
2018-05-04,25.66
2018-05-07,25.46
2018-05-08,24.13
2018-05-09,23.68
2018-05-10,22.27
2018-05-11,21.78
2018-05-14,20.52
2018-05-15,19.57
2018-05-16,20.16
2018-05-17,18.78
2018-05-18,18.36
2018-05-21,17.95
2018-05-22,17.91
2018-05-23,18.57
2018-05-24,17.98
2018-05-25,17.99
2018-05-28,18.2
2018-05-29,18.8
