date,northbound_net_buy_100m
2016-04-26,1.8295
2016-04-27,-3.3679
2016-04-28,-2.805
2016-04-29,0.8895000000000001
2016-05-03,6.153
2016-05-04,-2.7589
2016-05-05,-5.638
2016-05-06,-13.5968
2016-05-09,-5.3404
2016-05-10,-4.1152
2016-05-11,-2.4017
2016-05-12,-4.5585
2016-05-13,-7.305099999999999
2016-05-16,0.3243
2016-05-17,-1.4602000000000002
2016-05-18,-4.236000000000001
2016-05-19,-1.7866
2016-05-20,2.1399
2016-05-23,3.4403
2016-05-24,-0.7462000000000001
2016-05-25,12.5928
2016-05-26,3.0982
2016-05-27,6.1487
2016-05-30,24.31
2016-05-31,34.3676
2016-06-01,19.0118
2016-06-02,7.9983
2016-06-03,13.8583
2016-06-06,2.0072
2016-06-07,11.2444
2016-06-08,-0.5609000000000001
2016-06-13,-10.8297
2016-06-14,-2.5828
2016-06-15,-6.9986
2016-06-16,-9.2515
2016-06-17,7.2983
2016-06-20,0.358
2016-06-21,-0.8844
2016-06-22,7.0591
2016-06-23,-0.7434999999999999
2016-06-24,-20.6853
2016-06-27,-0.8371
2016-06-28,-0.9098
2016-06-29,8.9453
2016-07-04,11.4914
2016-07-05,-1.5847
2016-07-06,-6.4507
2016-07-07,-2.1199
2016-07-08,-2.2707
2016-07-11,15.496199999999998
2016-07-12,16.8992
2016-07-13,4.8099
2016-07-14,7.031499999999999
2016-07-15,4.1581
2016-07-18,7.105499999999999
2016-07-19,5.454400000000001
2016-07-20,3.4217
2016-07-21,7.0012
2016-07-22,2.9192
2016-07-25,4.4865
2016-07-26,4.6967
2016-07-27,9.752
2016-07-28,-5.668099999999999
2016-07-29,0.856
2016-08-01,10.5475
2016-08-03,-1.6819
2016-08-04,-4.3737
2016-08-05,4.7495
2016-08-08,6.233099999999999
2016-08-09,12.921500000000002
2016-08-10,10.4539
2016-08-11,7.0421000000000005
2016-08-12,2.314
2016-08-15,3.8364
2016-08-16,46.8617
2016-08-17,15.056
2016-08-18,11.7204
2016-08-19,3.557
2016-08-22,-0.9197
2016-08-23,1.7541
2016-08-24,2.2566
2016-08-25,3.3807
2016-08-26,1.9703
2016-08-29,-0.3359
2016-08-30,9.0338
2016-08-31,2.7925
2016-09-01,1.1973
2016-09-02,-1.8333
2016-09-05,14.7079
2016-09-06,8.8107
2016-09-07,4.8377
2016-09-08,9.5292
2016-09-09,-3.4957
2016-09-12,-25.7944
2016-09-13,-3.3815
2016-09-14,-11.6759
2016-09-19,-8.2693
2016-09-20,-8.5289
2016-09-21,-2.5494
2016-09-22,10.4294
2016-09-23,5.4779
2016-09-26,-3.7796
2016-09-27,-3.3643
2016-09-28,-1.646
2016-09-29,5.6294
2016-10-11,9.7584
2016-10-12,-5.7549
2016-10-13,-5.3053
2016-10-14,9.3891
2016-10-17,-1.7463
2016-10-18,6.5165
2016-10-19,3.91
2016-10-20,3.6675
2016-10-24,7.5594
2016-10-25,9.1472
2016-10-26,2.3446
2016-10-27,-5.7674
2016-10-28,2.5516
2016-10-31,1.4494999999999998
2016-11-01,4.086
2016-11-02,-9.7834
2016-11-03,-4.03
2016-11-04,-1.8742
2016-11-07,0.7190000000000001
2016-11-08,3.2119
2016-11-09,-40.4128
2016-11-10,15.3818
2016-11-11,-6.667000000000001
2016-11-14,-2.0042
2016-11-15,0.1184
2016-11-16,6.9984
2016-11-17,-0.2879
2016-11-18,-0.6413
2016-11-21,1.1322
2016-11-22,13.2473
2016-11-23,11.3004
2016-11-24,8.8473
2016-11-25,17.1
2016-11-28,13.9552
2016-11-29,9.8508
2016-11-30,11.0196
2016-12-01,9.4071
2016-12-02,-15.3939
2016-12-05,11.8122
2016-12-06,13.8401
2016-12-07,18.368
2016-12-08,22.882800000000003
2016-12-09,-0.3682
2016-12-12,9.5874
2016-12-13,15.2474
2016-12-14,8.9355
2016-12-15,4.5757
2016-12-16,11.3973
2016-12-19,-6.4064
2016-12-20,-25.5438
2016-12-21,1.5348
2016-12-22,-5.2364
2016-12-28,-5.42
2016-12-29,-1.2166
2016-12-30,-0.8164
2017-01-03,-0.5629
2017-01-04,-8.2966
2017-01-05,-3.924
2017-01-06,-15.701
2017-01-09,-0.6542
2017-01-10,2.5432
2017-01-11,16.860799999999998
2017-01-12,12.285
2017-01-13,12.053
2017-01-16,-8.083
2017-01-17,10.5458
2017-01-18,13.9136
2017-01-19,10.6391
2017-01-20,16.7727
2017-01-23,13.991
2017-01-24,13.6544
2017-01-25,1.7442
2017-01-26,8.6132
2017-02-03,13.0867
2017-02-06,27.7627
2017-02-07,16.321099999999998
2017-02-08,12.1851
2017-02-09,18.7181
2017-02-10,16.2104
2017-02-13,16.9835
2017-02-14,13.4662
2017-02-15,23.0833
2017-02-16,18.6494
2017-02-17,12.1927
2017-02-20,18.3337
2017-02-21,13.1423
2017-02-22,10.7675
2017-02-23,14.1366
2017-02-24,7.7148
2017-02-27,3.7498
2017-02-28,1.5026
2017-03-01,8.9289
2017-03-02,3.9168
2017-03-03,1.2819999999999998
2017-03-06,2.5778
2017-03-07,3.0321
2017-03-08,0.6022
2017-03-09,-19.1218
2017-03-10,-8.4266
2017-03-13,7.186699999999999
2017-03-14,-9.9215
2017-03-15,3.5561000000000003
2017-03-16,17.7923
2017-03-17,12.0551
2017-03-20,15.6699
2017-03-21,8.74
2017-03-22,5.261799999999999
