date,index_close,pe_ttm_index,pe_ttm_median,pb_index,pb_median
2010-06-09,,16.76,16.76,2.49,3.45
2010-06-10,,16.61,16.61,2.47,3.43
2010-06-11,,16.66,16.66,2.48,3.43
2010-06-17,,16.6,16.6,2.47,3.4
2010-06-18,,16.32,16.32,2.43,3.29
2010-06-21,,16.81,16.81,2.51,3.39
2010-06-22,,16.83,16.83,2.51,3.4
2010-06-23,,16.69,16.69,2.49,3.37
2010-06-24,,16.68,16.68,2.5,3.38
2010-06-25,,16.59,16.59,2.48,3.34
2010-06-28,,16.47,16.47,2.47,3.3
2010-06-29,,15.78,15.78,2.36,3.11
2010-06-30,,15.62,15.62,2.34,3.01
2010-07-01,,15.63,15.63,2.32,3.01
2010-07-02,,15.7,15.7,2.33,3.0
2010-07-05,,15.6,15.6,2.32,2.95
2010-07-06,,15.91,15.91,2.37,3.05
2010-07-07,,15.99,15.99,2.38,3.08
2010-07-08,,15.92,15.92,2.39,3.07
2010-07-09,,16.29,16.29,2.44,3.18
2010-07-12,,16.42,16.42,2.46,3.23
2010-07-13,,16.15,16.15,2.42,3.16
2010-07-14,,16.26,16.26,2.44,3.19
2010-07-15,,15.97,15.97,2.39,3.13
2010-07-16,,15.98,15.98,2.39,3.14
2010-07-19,,16.34,16.34,2.43,3.23
2010-07-20,,16.67,16.67,2.48,3.32
2010-07-21,,16.69,16.69,2.48,3.33
2010-07-22,,16.88,16.88,2.51,3.36
2010-07-23,,16.95,16.95,2.52,3.38
2010-07-26,,17.04,17.04,2.53,3.43
2010-07-27,,16.95,16.95,2.52,3.42
2010-07-28,,17.34,17.34,2.58,3.48
2010-07-29,,17.23,17.23,2.55,3.5
2010-07-30,,17.14,17.14,2.53,3.49
2010-08-02,,17.38,17.38,2.57,3.55
2010-08-03,,17.08,17.08,2.52,3.5
2010-08-04,,17.14,17.14,2.53,3.51
2010-08-05,,17.0,17.0,2.51,3.51
2010-08-06,,17.22,17.22,2.55,3.58
2010-08-09,,17.3,17.3,2.56,3.63
2010-08-10,,16.79,16.79,2.49,3.49
2010-08-11,,16.86,16.86,2.5,3.51
2010-08-12,,16.61,16.61,2.47,3.46
2010-08-13,,16.81,16.81,2.49,3.51
2010-08-16,,17.14,17.14,2.54,3.61
2010-08-17,,17.19,17.19,2.55,3.65
2010-08-18,,17.1,17.1,2.55,3.64
2010-08-19,,17.18,17.18,2.57,3.65
2010-08-20,,16.85,16.85,2.52,3.55
2010-08-23,,16.73,16.73,2.51,3.57
2010-08-24,,16.8,16.8,2.52,3.61
2010-08-25,,16.45,16.45,2.47,3.51
2010-08-26,,16.42,16.42,2.48,3.55
2010-08-27,,16.22,16.22,2.45,3.54
2010-08-30,,16.23,16.23,2.49,3.66
2010-08-31,,16.09,16.09,2.48,3.69
2010-09-01,,16.0,16.0,2.46,3.64
2010-09-02,,16.16,16.16,2.49,3.68
2010-09-03,,16.15,16.15,2.48,3.73
2010-09-06,,16.39,16.39,2.52,3.72
2010-09-07,,16.41,16.41,2.52,3.77
2010-09-08,,16.39,16.39,2.52,3.8
2010-09-09,,16.15,16.15,2.48,3.75
2010-09-10,,16.19,16.19,2.49,3.79
2010-09-13,,16.34,16.34,2.52,3.86
2010-09-14,,16.33,16.33,2.52,3.87
2010-09-15,,16.11,16.11,2.48,3.8
2010-09-16,,15.8,15.8,2.44,3.72
2010-09-17,,15.79,15.79,2.44,3.68
2010-09-20,,15.73,15.73,2.43,3.67
2010-09-21,,15.77,15.77,2.43,3.67
2010-09-27,,15.99,15.99,2.47,3.77
2010-09-28,,15.87,15.87,2.45,3.69
2010-09-29,,15.85,15.85,2.45,3.66
2010-09-30,,16.13,16.13,2.49,3.73
2010-10-08,,16.65,16.65,2.57,3.86
2010-10-11,,17.07,17.07,2.63,3.95
2010-10-12,,17.28,17.28,2.66,3.97
2010-10-13,,17.44,17.44,2.68,3.99
2010-10-14,,17.53,17.53,2.7,3.86
2010-10-15,,18.11,18.11,2.78,3.89
2010-10-18,,18.03,18.03,2.76,3.83
2010-10-19,,18.34,18.34,2.8,3.96
2010-10-20,,18.39,18.39,2.81,3.97
2010-10-21,,18.27,18.27,2.79,4.02
2010-10-22,,18.23,18.23,2.78,4.04
2010-10-25,,18.66,18.66,2.85,4.11
2010-10-26,,18.56,18.56,2.83,4.12
2010-10-27,,18.21,18.21,2.79,4.05
2010-10-28,,17.91,17.91,2.75,4.02
2010-10-29,,17.46,17.46,2.71,4.02
2010-11-01,,17.66,17.66,2.72,4.13
2010-11-02,,17.6,17.6,2.71,4.11
2010-11-03,,17.5,17.5,2.7,4.02
2010-11-04,,17.82,17.82,2.75,4.11
2010-11-05,,18.07,18.07,2.78,4.18
2010-11-08,,18.22,18.22,2.8,4.24
2010-11-09,,18.1,18.1,2.78,4.3
2010-11-10,,18.0,18.0,2.77,4.29
