序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
52,017746,建信电子行业股票A,2026-07-23,2.7606,2.7606,-3.2,-7.36,-11.63,32.0,25.91,123.73,249.53,188.1,50.88,176.06,118.6614,0.15%
53,017747,建信电子行业股票C,2026-07-23,2.7253,2.7253,-3.2,-7.36,-11.66,31.87,25.66,122.87,246.82,184.75,50.54,172.53,117.8149,0.00%
54,017489,嘉实信息产业股票发起式C,2026-07-23,3.3257,3.3257,-2.32,-9.92,-22.87,0.4,40.85,122.47,224.49,153.16,45.08,232.57,118.8248,0.00%
55,020476,泰康半导体量化选股股票发起式A,2026-07-23,3.3727,3.3727,-3.98,-2.58,-9.7,36.17,30.25,122.3,223.49,,54.19,237.27,119.6769,0.12%
56,020477,泰康半导体量化选股股票发起式C,2026-07-23,3.3434,3.3434,-3.98,-2.58,-9.72,36.04,30.0,121.43,220.96,,53.85,234.34,118.8089,0.00%
57,540010,汇丰晋信科技先锋股票,2026-07-23,4.9743,4.9743,-1.3,-12.14,-27.31,-0.81,25.39,120.34,207.93,140.63,35.98,397.43,121.4737,0.15%
58,005310,广发电子信息传媒股票A,2026-07-23,5.0127,5.0127,-2.78,-5.29,-20.02,14.2,30.69,115.76,170.55,110.57,45.24,401.27,114.8515,0.15%
59,014416,泰康研究精选股票发起A,2026-07-23,1.9115,1.9115,-1.83,-6.44,-17.28,12.77,29.22,114.97,202.64,145.28,39.61,91.15,114.462,0.15%
60,010236,广发电子信息传媒股票C,2026-07-23,4.9034,4.9034,-2.79,-5.3,-20.05,14.09,30.43,114.89,168.4,108.06,44.92,193.49,113.9914,0.00%
61,014417,泰康研究精选股票发起C,2026-07-23,1.8686,1.8686,-1.84,-6.45,-17.31,12.63,28.9,113.92,199.7,141.67,39.22,86.86,113.3836,0.00%
62,020775,国寿安保产业升级股票发起式A,2026-07-23,2.1768,2.1768,0.12,-6.6,-20.61,4.88,31.39,112.77,134.57,,62.4,117.68,110.2579,0.12%
63,020774,国寿安保产业升级股票发起式C,2026-07-23,2.1527,2.1527,0.12,-6.61,-20.64,4.75,31.08,111.73,132.27,,61.95,115.27,109.2438,0.00%
64,003853,金鹰信息产业股票A,2026-07-23,5.6471,6.6056,-3.24,-5.22,-12.01,22.45,39.38,111.48,155.58,98.26,49.92,666.01,108.5263,0.12%
65,005885,金鹰信息产业股票C,2026-07-23,5.5184,6.4569,-3.24,-5.23,-12.04,22.32,39.1,110.63,153.56,95.89,49.59,615.0,107.7007,0.00%
66,004352,华银研究精选股票,2026-07-23,2.7439,2.7439,-1.31,-0.8,-5.15,36.03,38.25,110.45,136.81,121.77,55.67,174.39,106.1843,0.15%
67,013242,华银优势行业股票,2026-07-23,2.0095,2.0095,-1.82,-11.02,-24.12,9.95,32.14,110.44,226.48,192.97,49.23,100.95,110.9711,0.15%
68,001416,嘉实事件驱动股票,2026-07-23,1.512,1.512,-2.45,-11.27,-24.48,7.08,40.52,108.26,101.33,73.39,48.67,51.2,107.978,0.15%
69,000828,宏利转型机遇股票A,2026-07-23,6.339,6.559,-1.31,-0.66,-1.71,15.36,31.41,106.68,179.13,185.93,37.33,661.73,106.1463,0.12%
70,012800,宏利转型机遇股票C,2026-07-23,6.245,6.245,-1.3,-0.67,-1.73,15.26,31.23,106.04,177.43,183.35,37.1,74.25,105.4952,0.00%
71,014299,宏利先进制造股票A,2026-07-23,1.737,1.737,-3.94,-4.54,-10.67,50.09,37.4,105.13,153.61,113.92,58.49,73.7,102.9917,0.15%
72,014300,宏利先进制造股票C,2026-07-23,1.7126,1.7126,-3.94,-4.55,-10.7,49.99,37.21,104.39,151.93,111.85,58.22,71.26,102.2437,0.00%
73,001313,摩根智慧互联股票A,2026-07-23,1.9248,1.9248,-0.44,-3.92,-12.45,9.51,28.58,104.01,186.09,131.9,33.26,92.48,103.5318,0.15%
74,019759,中欧半导体产业股票发起A,2026-07-23,2.4177,2.4177,-5.74,-6.18,-5.65,36.92,17.83,103.84,179.44,,54.55,141.77,101.1565,0.15%
75,016919,摩根智慧互联股票C,2026-07-23,1.8888,1.8888,-0.44,-3.93,-12.48,9.38,28.26,102.99,183.26,128.45,32.88,117.48,102.5088,0.00%
76,001036,嘉实企业变革股票,2026-07-23,3.054,3.054,-1.8,-4.8,-10.7,29.57,39.45,102.92,148.7,95.52,64.55,205.4,101.3184,0.15%
77,019764,中欧半导体产业股票发起C,2026-07-23,2.3862,2.3862,-5.74,-6.19,-5.69,36.75,17.54,102.82,176.69,,54.13,138.62,100.151,0.00%
78,009891,融通产业趋势臻选股票A,2026-07-23,2.8553,2.8553,-1.47,-13.39,-28.81,-6.69,29.23,102.32,196.16,182.76,29.25,185.53,101.0916,0.15%
79,008009,华商高端装备制造股票A,2026-07-23,4.8367,4.8367,1.73,-8.28,-24.76,-10.73,15.91,101.6,174.53,134.53,24.93,383.67,99.6162,0.15%
80,018495,融通产业趋势臻选股票C,2026-07-23,2.7673,2.7673,-1.48,-13.4,-28.84,-6.83,28.86,101.13,189.1,174.32,28.82,162.88,99.9205,0.00%
81,002861,工银智能制造股票A,2026-07-23,3.45,3.45,-1.71,-5.38,-10.9,4.61,15.0,100.35,181.86,158.04,34.66,245.0,97.1429,0.15%
82,016050,华商高端装备制造股票C,2026-07-23,4.7166,4.7166,1.73,-8.29,-24.79,-10.87,15.5,100.3,171.15,130.25,24.45,97.47,98.3265,0.00%
83,022710,工银智能制造股票C,2026-07-23,3.418,3.418,-1.73,-5.4,-10.94,4.43,14.66,99.18,,,34.2,134.11,95.8739,0.00%
84,001396,建信互联网+产业升级股票,2026-07-23,2.086,2.086,-1.88,-5.44,-18.86,10.37,36.34,96.79,141.44,100.96,48.36,108.6,96.4218,0.15%
85,001070,建信信息产业股票A,2026-07-23,4.904,4.904,-2.78,-8.83,-20.65,19.0,25.74,96.32,151.87,97.26,42.31,390.4,94.8351,0.15%
86,019765,国寿安保优选国企股票发起式A,2026-07-23,2.269,2.269,-3.94,-5.85,-9.22,33.54,33.27,95.82,135.52,,55.75,126.9,90.4482,0.12%
87,014863,建信信息产业股票C,2026-07-23,4.826,4.826,-2.78,-8.84,-20.68,18.87,25.48,95.46,150.44,95.23,41.98,63.93,94.0491,0.00%
88,002980,华夏创新前沿股票A,2026-07-23,5.086,5.086,-1.09,-3.49,-9.13,16.52,36.28,95.09,155.96,117.16,44.98,408.6,93.6049,0.15%
89,019766,国寿安保优选国企股票发起式C,2026-07-23,2.2391,2.2391,-3.94,-5.86,-9.26,33.38,32.95,94.84,133.19,,55.32,123.91,89.5133,0.00%
90,009491,宝盈创新驱动股票A,2026-07-23,2.488,2.488,-2.79,-10.79,-21.9,5.15,35.29,94.18,177.96,165.61,38.55,148.8,93.5735,0.15%
91,010361,嘉实品质优选股票A,2026-07-23,0.969,0.969,-1.88,-4.56,-18.79,6.79,22.57,93.41,108.39,66.24,34.17,-3.1,90.4481,0.15%
92,009492,宝盈创新驱动股票C,2026-07-23,2.4147,2.4147,-2.79,-10.79,-21.93,5.01,34.95,93.21,175.18,161.61,38.16,141.47,92.6213,0.00%
93,010362,嘉实品质优选股票C,2026-07-23,0.9396,0.9396,-1.89,-4.58,-18.83,6.63,22.23,92.27,105.96,63.3,33.75,-6.04,89.3591,0.00%
94,004784,招商稳健优选股票A,2026-07-23,5.5848,5.5848,-2.95,-4.69,-15.45,14.62,12.46,90.71,142.24,109.47,28.68,458.48,91.1097,0.15%
95,019863,招商稳健优选股票C,2026-07-23,5.701,5.701,-2.95,-4.71,-15.49,14.45,12.13,89.57,139.35,,28.25,130.13,89.9763,0.00%
96,001749,招商中国机遇股票A,2026-07-23,2.728,2.728,-3.26,-9.28,-24.31,11.44,28.74,88.4,130.02,90.9,39.97,172.8,87.1056,0.15%
97,013339,创金合信芯片产业股票发起A,2026-07-23,1.8763,1.8763,-5.02,-4.01,-8.25,30.61,25.23,88.38,152.19,110.54,46.87,87.63,85.6804,0.15%
98,001039,嘉实先进制造股票,2026-07-23,3.099,3.099,1.11,0.52,-5.49,19.24,32.49,88.05,147.13,84.03,46.73,209.9,86.4621,0.15%
99,013340,创金合信芯片产业股票发起C,2026-07-23,1.8316,1.8316,-5.02,-4.02,-8.29,30.44,24.91,87.43,149.67,107.36,46.46,83.16,84.7488,0.00%
100,001040,新华策略精选股票A,2026-07-23,3.0724,3.5104,-2.01,-16.02,-26.36,-3.69,20.57,86.21,201.07,125.46,37.25,284.07,86.7493,0.15%
101,000979,景顺长城沪港深精选股票A,2026-07-23,4.937,4.937,-0.5,-7.08,-19.66,2.28,25.62,86.09,127.41,157.54,28.17,393.7,86.3722,0.15%
102,021313,景顺长城沪港深精选股票C,2026-07-23,4.864,4.864,-0.51,-7.09,-19.7,2.12,25.2,84.94,124.67,,27.7,117.34,85.2247,0.00%
103,001496,工银聚焦30股票,2026-07-23,2.359,2.359,-1.42,-6.91,-15.54,8.21,19.81,84.59,120.88,78.98,24.16,135.9,83.1522,0.15%
104,001072,华安智能装备主题股票A,2026-07-23,4.422,4.475,-0.83,-7.93,-20.12,-0.7,9.24,82.95,134.96,123.45,25.55,364.72,80.5635,0.15%
105,009863,富国创新趋势股票A,2026-07-23,1.0111,1.0111,-3.08,-7.36,-15.45,2.35,17.28,82.84,110.73,72.81,21.53,1.11,81.9834,0.15%
106,013622,华安智能装备主题股票C,2026-07-23,4.295,4.295,-0.83,-7.93,-20.15,-0.83,8.9,81.91,132.16,119.47,25.15,76.31,79.4818,0.00%
107,005962,宝盈人工智能股票A,2026-07-23,5.3747,5.3747,0.03,-6.01,-16.51,5.81,17.59,80.59,168.08,134.65,24.31,437.47,78.3896,0.15%
108,020553,南方半导体产业股票发起A,2026-07-23,2.7107,2.7107,-2.17,-18.52,-22.31,3.26,9.67,80.59,169.19,,29.42,171.07,76.5813,0.15%
109,021875,路博迈资源精选股票发起A,2026-07-23,1.9499,1.9499,2.85,8.29,-6.42,-12.26,-7.01,80.53,,,7.72,94.99,76.3498,0.15%
110,001009,摩根安全战略股票A,2026-07-23,2.1068,2.3534,-1.08,-8.12,-18.93,4.28,29.01,80.41,91.23,79.13,36.09,138.81,80.3304,0.15%
111,001482,摩根新兴服务股票A,2026-07-23,2.6746,2.6746,-2.59,-6.51,-14.87,10.93,32.63,80.18,101.48,66.69,38.32,167.46,80.5332,0.15%
112,014185,招商专精特新股票A,2026-07-23,1.7033,1.7033,-3.27,-6.18,-15.43,20.6,23.74,80.07,140.72,89.19,42.8,70.33,78.1322,0.15%
113,020554,南方半导体产业股票发起C,2026-07-23,2.6878,2.6878,-2.18,-18.53,-22.34,3.16,9.44,80.01,167.2,,29.17,168.78,76.0068,0.00%
114,015172,摩根安全战略股票C,2026-07-23,2.0608,2.0608,-1.08,-8.13,-18.97,4.14,28.69,79.51,89.32,76.47,35.7,21.52,79.434,0.00%
115,021876,路博迈资源精选股票发起C,2026-07-23,1.9238,1.9238,2.86,8.29,-6.46,-12.4,-7.29,79.34,,,7.3,92.38,75.1935,0.00%
116,005963,宝盈人工智能股票C,2026-07-23,5.0437,5.0437,0.03,-6.02,-16.56,5.6,17.12,79.15,163.81,129.05,23.76,404.37,76.9719,0.00%
117,017177,摩根新兴服务股票C,2026-07-23,2.6173,2.6173,-2.59,-6.52,-14.91,10.78,32.25,79.11,99.08,63.71,37.87,67.58,79.4638,0.00%
118,014186,招商专精特新股票C,2026-07-23,1.6414,1.6414,-3.27,-6.19,-15.48,20.36,23.26,78.65,136.89,84.7,42.17,64.14,76.7036,0.00%
119,000524,摩根民生需求股票A,2026-07-23,3.4286,3.8676,-2.52,-6.25,-14.63,11.07,29.88,77.88,90.16,61.48,35.06,328.72,78.3129,0.15%
120,007133,嘉实长青竞争优势股票A,2026-07-23,1.4803,1.4803,-0.15,0.03,-4.42,15.68,19.55,77.22,83.36,24.38,42.42,48.03,75.0591,0.15%
121,017099,摩根民生需求股票C,2026-07-23,3.3527,3.3527,-2.52,-6.26,-14.67,10.91,29.5,76.82,87.91,58.6,34.61,45.51,77.2602,0.00%
122,002229,华夏经济转型股票,2026-07-23,3.259,3.423,-1.98,-3.98,-11.44,20.13,25.35,76.54,102.93,74.09,43.13,273.52,75.1209,0.15%
123,007134,嘉实长青竞争优势股票C,2026-07-23,1.4248,1.4248,-0.15,0.02,-4.45,15.54,19.26,76.36,81.55,22.53,42.03,42.48,74.2022,0.00%
124,004450,嘉实前沿科技沪港深股票A,2026-07-23,3.5016,3.5016,-3.22,-5.52,-16.42,26.79,31.68,75.59,180.22,118.26,51.94,250.12,74.2957,0.15%
125,001678,英大国企改革A,2026-07-23,2.8872,3.5372,-1.57,-4.23,-14.53,14.77,20.61,75.06,97.32,63.44,36.07,340.55,73.3221,0.15%
126,022868,英大国企改革C,2026-07-23,2.8778,2.8778,-1.57,-4.24,-14.55,14.7,20.48,74.64,,,35.89,86.62,72.9135,0.00%
127,020315,嘉实前沿科技沪港深股票C,2026-07-23,3.4355,3.4355,-3.23,-5.53,-16.46,26.6,31.29,74.54,175.9,,51.43,119.82,73.2563,0.00%
128,006868,华夏科技成长股票,2026-07-23,2.6306,2.6306,-2.14,-3.89,-10.94,20.78,24.68,74.05,108.89,81.06,41.96,163.06,72.5549,0.15%
129,022754,易方达科鑫量化选股股票发起式A,2026-07-23,2.0,2.0,0.2,-3.3,-12.29,-0.73,13.37,74.02,,,29.53,100.0,72.1763,0.15%
130,014341,摩根时代睿选股票A,2026-07-23,1.9853,1.9853,-1.16,-8.55,-19.61,3.36,25.78,73.4,99.93,98.53,33.92,98.53,72.2753,0.15%
131,022755,易方达科鑫量化选股股票发起式C,2026-07-23,1.9876,1.9876,0.21,-3.3,-12.32,-0.83,13.15,73.36,,,29.25,98.76,71.5223,0.00%
132,005777,广发科技动力股票,2026-07-23,2.4503,2.4503,-1.67,-9.55,-19.91,2.25,25.77,72.62,155.72,97.96,43.49,145.03,71.9147,0.15%
133,014342,摩根时代睿选股票C,2026-07-23,1.9542,1.9542,-1.17,-8.56,-19.65,3.23,25.46,72.53,97.91,95.52,33.53,95.42,71.391,0.00%
134,001410,信澳新能源产业股票A,2026-07-23,6.59,6.652,-2.87,-8.2,-21.85,10.63,14.31,71.7,131.55,84.49,30.88,589.91,69.4523,0.15%
135,000513,富国高端制造行业股票A,2026-07-23,5.313,5.313,-1.19,-6.56,-12.64,-1.3,14.95,71.39,102.02,68.29,24.11,431.3,69.5819,0.15%
136,024170,信澳新能源产业股票C,2026-07-23,6.553,6.553,-2.88,-8.22,-21.89,10.47,13.97,70.7,,,30.46,78.41,68.5009,0.00%
137,014930,富国高端制造行业股票C,2026-07-23,5.177,5.177,-1.2,-6.57,-12.68,-1.43,14.64,70.46,99.73,65.4,23.7,39.09,68.6869,0.00%
138,020722,国寿安保数字经济股票发起式A,2026-07-23,2.5729,2.5729,-0.77,-6.79,-21.21,-6.3,56.52,70.09,154.52,,67.13,157.29,69.0584,0.12%
139,001672,国寿安保智慧生活股票A,2026-07-23,2.557,3.364,-0.39,-14.14,-28.91,6.32,15.08,69.56,151.67,104.26,35.01,354.72,67.3429,0.15%
140,020723,国寿安保数字经济股票发起式C,2026-07-23,2.5443,2.5443,-0.77,-6.8,-21.24,-6.41,56.15,69.26,151.99,,66.68,154.43,68.2404,0.00%
141,023101,国寿安保智慧生活股票C,2026-07-23,1.862,1.862,-0.43,-14.15,-28.96,6.16,14.8,68.97,,,34.63,86.2,66.6965,0.00%
142,023117,华安高端装备股票发起式A,2026-07-23,1.8738,1.8738,-0.15,-6.24,-16.86,4.71,22.12,67.24,,,28.93,87.38,66.014,0.15%
143,005826,华夏潜龙精选股票,2026-07-23,2.9671,2.9671,-0.73,-5.73,-16.72,6.37,7.72,67.23,116.21,92.11,19.99,196.71,66.1496,0.15%
144,023118,华安高端装备股票发起式C,2026-07-23,1.8635,1.8635,-0.16,-6.25,-16.9,4.57,21.81,66.44,,,28.49,86.35,65.2185,0.00%
145,004616,中欧电子信息产业沪港深股票A,2026-07-23,4.3765,4.4455,-3.09,-6.89,-12.19,19.42,18.03,65.89,143.13,73.73,36.79,351.22,63.9139,0.15%
146,008314,摩根慧选成长股票A,2026-07-23,2.1598,2.1598,0.92,-2.18,-9.47,2.41,12.43,65.62,101.02,87.08,17.82,115.98,65.1602,0.15%
147,003145,国联竞争优势,2026-07-23,3.1863,3.1863,1.21,0.32,-5.16,13.4,12.77,65.4,122.46,77.35,26.42,218.63,65.4791,0.15%
148,164205,天弘文化新兴产业股票A,2026-07-23,4.3382,5.0444,-3.55,-6.92,-15.45,15.25,30.59,65.34,129.41,115.37,51.0,404.44,63.9965,0.15%
149,015475,天弘文化新兴产业股票C,2026-07-23,1.9724,1.9724,-3.55,-6.93,-15.48,15.13,30.34,64.67,127.6,112.84,50.67,97.24,63.3322,0.00%
150,005763,中欧电子信息产业沪港深股票C,2026-07-23,4.3658,4.4358,-3.09,-6.91,-12.25,19.18,17.56,64.52,139.16,69.52,36.13,310.95,62.5633,0.00%
151,008315,摩根慧选成长股票C,2026-07-23,2.051,2.051,0.92,-2.2,-9.53,2.21,11.99,64.32,97.86,82.67,17.29,105.1,63.8572,0.00%
152,008286,易方达研究精选股票,2026-07-23,1.3575,1.3575,-0.83,-3.53,-8.56,16.48,35.49,64.27,79.59,35.87,37.23,35.75,63.1611,0.15%
153,011122,汇添富ESG可持续成长股票A,2026-07-23,1.1773,1.1773,0.06,-1.13,-6.46,7.14,10.94,64.02,119.6,100.39,18.5,17.73,63.1287,0.15%
154,009899,上银内需增长股票A,2026-07-23,1.3822,1.3822,0.59,0.93,2.8,5.51,24.83,63.61,100.17,69.78,34.97,38.22,63.2841,0.15%
155,011123,汇添富ESG可持续成长股票C,2026-07-23,1.1301,1.1301,0.05,-1.14,-6.52,6.94,10.49,62.7,116.12,95.65,17.96,13.01,61.8127,0.00%
156,015754,上银内需增长股票C,2026-07-23,1.348,1.348,0.58,0.91,2.74,5.35,24.46,62.63,97.77,66.73,34.52,66.24,62.3119,0.00%
157,011506,建信高端装备股票A,2026-07-23,1.8992,1.8992,-2.07,-3.85,-9.42,10.62,14.94,62.02,95.65,70.42,22.44,89.92,59.7846,0.15%
158,000586,景顺长城中小创精选股票A,2026-07-23,3.623,4.195,0.92,-3.39,-14.69,5.41,20.97,61.89,85.13,60.16,34.58,353.77,61.2372,0.15%
159,001188,鹏华改革红利股票,2026-07-23,2.211,2.211,-1.65,-4.53,-12.19,19.45,19.97,61.39,116.76,90.6,38.71,121.1,59.2939,0.15%
160,011507,建信高端装备股票C,2026-07-23,1.8606,1.8606,-2.07,-3.86,-9.46,10.51,14.71,61.36,94.18,68.46,22.16,86.06,59.1345,0.00%
