序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
58,005310,广发电子信息传媒股票A,2026-07-22,5.1562,5.1562,-2.06,-5.91,-19.66,16.41,34.05,122.51,170.23,116.6,49.4,415.62,121.9343,0.15%
59,010236,广发电子信息传媒股票C,2026-07-22,5.0439,5.0439,-2.06,-5.91,-19.69,16.3,33.79,121.63,168.08,114.02,49.07,201.9,121.0492,0.00%
60,014416,泰康研究精选股票发起A,2026-07-22,1.9472,1.9472,-3.52,-7.73,-18.64,12.41,30.12,118.93,199.48,149.87,42.21,94.72,118.9834,0.15%
61,019759,中欧半导体产业股票发起A,2026-07-22,2.5649,2.5649,-2.43,-5.34,0.31,42.37,38.34,117.94,183.45,,63.96,156.49,116.2465,0.15%
62,014417,泰康研究精选股票发起C,2026-07-22,1.9036,1.9036,-3.52,-7.74,-18.67,12.27,29.81,117.85,196.56,146.2,41.83,90.36,117.9279,0.00%
63,003853,金鹰信息产业股票A,2026-07-22,5.8361,6.7946,-1.7,-6.87,-10.56,24.8,46.36,117.71,155.35,104.89,54.94,691.64,118.556,0.12%
64,005885,金鹰信息产业股票C,2026-07-22,5.7031,6.6416,-1.7,-6.87,-10.59,24.68,46.07,116.85,153.32,102.45,54.6,638.93,117.6839,0.00%
65,019764,中欧半导体产业股票发起C,2026-07-22,2.5315,2.5315,-2.44,-5.35,0.27,42.2,37.99,116.85,180.69,,63.51,153.15,115.1721,0.00%
66,014299,宏利先进制造股票A,2026-07-22,1.8082,1.8082,-1.77,-8.54,-6.96,53.89,44.61,116.58,156.05,122.68,64.98,80.82,113.5333,0.15%
67,014300,宏利先进制造股票C,2026-07-22,1.7828,1.7828,-1.77,-8.55,-6.98,53.78,44.39,115.78,154.36,120.53,64.71,78.28,112.77,0.00%
68,013242,华银优势行业股票,2026-07-22,2.0468,2.0468,-2.32,-13.44,-25.19,9.23,34.29,115.14,221.98,198.41,52.0,104.68,114.3471,0.15%
69,001416,嘉实事件驱动股票,2026-07-22,1.55,1.55,-4.62,-12.77,-24.09,7.04,42.2,114.38,100.52,77.75,52.41,55.0,113.4986,0.15%
70,004352,华银研究精选股票,2026-07-22,2.7803,2.7803,0.02,-1.41,-9.0,35.65,44.39,112.77,130.6,124.71,57.74,178.03,113.2459,0.15%
71,020775,国寿安保产业升级股票发起式A,2026-07-22,2.1742,2.1742,-1.56,-9.29,-22.33,2.87,33.71,110.03,130.81,,62.21,117.42,112.511,0.12%
72,020774,国寿安保产业升级股票发起式C,2026-07-22,2.1501,2.1501,-1.57,-9.31,-22.36,2.74,33.4,109.01,128.54,,61.76,115.01,111.4783,0.00%
73,000828,宏利转型机遇股票A,2026-07-22,6.423,6.643,-1.0,-0.86,-2.39,16.57,30.79,107.73,176.73,189.72,39.15,671.82,109.4229,0.12%
74,012800,宏利转型机遇股票C,2026-07-22,6.327,6.327,-1.02,-0.88,-2.42,16.48,30.59,107.1,174.97,187.07,38.9,76.53,108.743,0.00%
75,001036,嘉实企业变革股票,2026-07-22,3.11,3.11,-2.45,-7.58,-10.56,29.8,41.62,106.64,146.63,99.1,67.56,211.0,106.6445,0.15%
76,009891,融通产业趋势臻选股票A,2026-07-22,2.898,2.898,-5.82,-15.03,-31.86,-6.13,27.42,105.12,194.6,186.99,31.18,189.8,105.3426,0.15%
77,001313,摩根智慧互联股票A,2026-07-22,1.9333,1.9333,-2.56,-5.96,-15.35,9.0,28.36,104.58,179.54,132.93,33.85,93.33,104.9073,0.15%
78,018495,融通产业趋势臻选股票C,2026-07-22,2.8088,2.8088,-5.81,-15.03,-31.89,-6.27,27.06,103.94,187.61,178.43,30.75,166.82,104.1427,0.00%
79,016919,摩根智慧互联股票C,2026-07-22,1.8971,1.8971,-2.56,-5.97,-15.38,8.87,28.04,103.55,176.79,129.45,33.47,118.43,103.8796,0.00%
