date,northbound_net_cny100m,mean120,std120,upper,lower,trigger,state
2017-09-04,17.196099999999998,9.581458333333332,11.709114339201836,21.29057267253517,-2.127656005868504,,多头
2017-09-04,17.196099999999998,9.581458333333332,11.709114339201836,21.29057267253517,-2.127656005868504,,多头
2017-09-05,9.4016,9.638323333333334,11.69137179448719,21.329695127820525,-2.053048461153857,,多头
2017-09-05,9.4016,9.638323333333334,11.69137179448719,21.329695127820525,-2.053048461153857,,多头
2017-09-06,1.6279,9.626621666666667,11.69873979486383,21.3253614615305,-2.072118128197163,,多头
2017-09-06,1.6279,9.626621666666669,11.69873979486383,21.3253614615305,-2.072118128197163,,多头
2017-09-07,9.3161,9.6992375,11.669260233025124,21.368497733025123,-1.9700227330251234,,多头
2017-09-07,9.3161,9.6992375,11.669260233025124,21.368497733025123,-1.970022733025124,,多头
2017-09-08,4.2978,9.894400833333332,11.375329774231645,21.269730607564977,-1.4809289408983126,,多头
2017-09-08,4.2978,9.894400833333332,11.375329774231645,21.269730607564977,-1.4809289408983126,,多头
2017-09-11,20.066300000000002,10.131841666666668,11.286721674378642,21.41856334104531,-1.1548800077119736,,多头
2017-09-11,20.0663,10.131841666666668,11.286721674378642,21.41856334104531,-1.1548800077119736,,多头
2017-09-12,24.6882,10.2776875,11.36117575880455,21.638863258804548,-1.0834882588045485,越上限(看多),多头
2017-09-12,24.688200000000002,10.2776875,11.36117575880455,21.638863258804548,-1.0834882588045485,越上限(看多),多头
2017-09-13,2.3535,10.379979166666667,11.232310605000649,21.612289771667314,-0.852331438333982,,多头
2017-09-13,2.3535,10.379979166666669,11.232310605000649,21.61228977166732,-0.852331438333982,,多头
2017-09-14,0.4644,10.354215,11.251623640068884,21.60583864006888,-0.8974086400688837,,多头
2017-09-14,0.4644,10.354215,11.251623640068884,21.60583864006888,-0.8974086400688837,,多头
2017-09-15,-1.8766,10.1903075,11.285570826555672,21.475878326555673,-1.0952633265556724,越下限(看空),空头
2017-09-15,-1.8766,10.1903075,11.285570826555672,21.47587832655568,-1.0952633265556724,越下限(看空),空头
2017-09-18,43.873400000000004,10.45546,11.696068981351747,22.151528981351746,-1.2406089813517465,越上限(看多),多头
2017-09-18,43.8734,10.45546,11.696068981351749,22.151528981351746,-1.2406089813517465,越上限(看多),多头
2017-09-19,1.38059999999999,10.3363825,11.715258559125823,22.051641059125824,-1.3788760591258225,,多头
2017-09-19,1.38059999999999,10.336382500000001,11.715258559125823,22.051641059125824,-1.3788760591258225,,多头
2017-09-20,20.0582,10.430700833333333,11.747813840756024,22.17851467408936,-1.3171130074226909,,多头
2017-09-20,20.0582,10.430700833333333,11.747813840756024,22.178514674089357,-1.3171130074226909,,多头
2017-09-21,11.9834,10.486714166666667,11.738982431265626,22.22569659793229,-1.2522682645989587,,多头
2017-09-21,11.9834,10.486714166666667,11.738982431265626,22.22569659793229,-1.252268264598959,,多头
2017-09-22,4.845,10.386449166666669,11.735327218970184,22.12177638563685,-1.348878052303517,,多头
2017-09-22,4.845,10.386449166666667,11.735327218970184,22.12177638563685,-1.348878052303517,,多头
2017-09-25,-17.6926,10.095235833333334,11.994234449849209,22.089470283182543,-1.8989986165158754,越下限(看空),空头
2017-09-25,-17.6926,10.095235833333334,11.994234449849207,22.089470283182543,-1.898998616515876,越下限(看空),空头
2017-09-26,0.2773,10.071064999999999,12.011202188144185,22.082267188144186,-1.9401371881441865,,空头
2017-09-26,0.2773,10.071065,12.011202188144184,22.082267188144183,-1.9401371881441865,,空头
2017-09-27,6.4814,10.051668333333334,12.015136154874233,22.066804488207566,-1.963467821540899,,空头
2017-09-27,6.4814,10.051668333333334,12.015136154874233,22.066804488207566,-1.963467821540899,,空头
2017-09-28,-3.7445999999999997,9.998293333333333,12.062380030169201,22.060673363502534,-2.0640866968358687,越下限(看空),空头
2017-09-28,-3.7446,9.998293333333333,12.0623800301692,22.06067336350253,-2.0640866968358687,越下限(看空),空头
2017-09-29,11.2961,9.994063333333337,12.061830584495254,22.05589391782859,-2.06776725116192,,空头
2017-09-29,11.2961,9.994063333333335,12.061830584495254,22.05589391782859,-2.0677672511619196,,空头
2017-10-09,75.642,10.641084166666666,13.419097395042895,24.06018156170956,-2.7780132283762318,越上限(看多),多头
2017-10-09,75.642,10.641084166666666,13.419097395042897,24.060181561709562,-2.7780132283762313,越上限(看多),多头
2017-10-10,40.8785,10.865120833333332,13.697090509478906,24.56221134281224,-2.831969676145574,越上限(看多),多头
2017-10-10,40.8785,10.865120833333332,13.697090509478906,24.56221134281224,-2.831969676145574,越上限(看多),多头
2017-10-11,15.96,10.998335833333332,13.667983939455375,24.66631977278871,-2.669648106122045,,多头
2017-10-11,15.96,10.998335833333332,13.667983939455377,24.66631977278871,-2.669648106122045,,多头
2017-10-12,3.5827,10.990763333333332,13.671870456297157,24.66263378963049,-2.681107122963825,,多头
2017-10-12,3.5827,10.990763333333332,13.671870456297157,24.66263378963049,-2.681107122963825,,多头
2017-10-13,2.7245,10.951808333333332,13.688839205359335,24.64064753869267,-2.7370308720260024,,多头
2017-10-13,2.7245,10.951808333333332,13.688839205359336,24.64064753869267,-2.7370308720260024,,多头
2017-10-16,14.066600000000001,11.10865,13.61499388678936,24.72364388678936,-2.5063438867893595,,多头
2017-10-16,14.0666,11.10865,13.61499388678936,24.72364388678936,-2.5063438867893595,,多头
2017-10-17,16.868,11.2788075,13.557717341888681,24.836524841888682,-2.278909841888682,,多头
2017-10-17,16.868,11.2788075,13.55771734188868,24.83652484188868,-2.278909841888682,,多头
2017-10-18,-5.7198,11.229126666666666,13.609325581353533,24.8384522480202,-2.3801989146868667,越下限(看空),空头
2017-10-18,-5.7198,11.229126666666666,13.609325581353533,24.838452248020197,-2.3801989146868667,越下限(看空),空头
2017-10-19,-0.337,11.138763333333332,13.6501019690773,24.788865302410635,-2.511338635743968,,空头
2017-10-19,-0.337,11.138763333333333,13.650101969077301,24.788865302410635,-2.511338635743968,,空头
2017-10-20,-1.6962000000000002,10.988553333333334,13.691621350668209,24.680174684001543,-2.703068017334875,,空头
2017-10-20,-1.6962000000000002,10.988553333333334,13.691621350668209,24.680174684001543,-2.703068017334875,,空头
2017-10-23,-14.8771,10.811735,13.887749381498187,24.699484381498188,-3.0760143814981884,越下限(看空),空头
2017-10-23,-14.8771,10.811734999999999,13.887749381498187,24.699484381498188,-3.0760143814981884,越下限(看空),空头
2017-10-24,-32.6987,10.509615,14.430661536619857,24.940276536619855,-3.9210465366198566,越下限(看空),空头
2017-10-24,-32.6987,10.509615,14.430661536619857,24.94027653661985,-3.9210465366198566,越下限(看空),空头
2017-10-25,4.6384,10.4308625,14.436750540812788,24.86761304081279,-4.005888040812788,,空头
2017-10-25,4.6384,10.4308625,14.436750540812788,24.86761304081279,-4.005888040812788,,空头
2017-10-26,15.238,10.477776666666667,14.44320084415715,24.920977510823818,-3.9654241774904833,,空头
2017-10-26,15.238,10.477776666666667,14.44320084415715,24.920977510823818,-3.9654241774904833,,空头
2017-10-27,0.7673000000000001,10.4406975,14.462519081047336,24.90321658104734,-4.021821581047336,,空头
2017-10-27,0.7673000000000001,10.4406975,14.462519081047336,24.90321658104734,-4.021821581047336,,空头
2017-10-30,-11.660499999999999,10.204176666666665,14.590449748418736,24.794626415085403,-4.386273081752071,越下限(看空),空头
2017-10-30,-11.6605,10.204176666666664,14.590449748418736,24.794626415085403,-4.386273081752071,越下限(看空),空头
2017-10-31,-5.1497,10.074212499999998,14.657582374708175,24.73179487470817,-4.583369874708177,越下限(看空),空头
2017-10-31,-5.1497,10.074212499999998,14.657582374708175,24.73179487470817,-4.583369874708177,越下限(看空),空头
2017-11-01,25.4899,10.308670000000001,14.677425192546227,24.98609519254623,-4.368755192546226,越上限(看多),多头
2017-11-01,25.4899,10.30867,14.677425192546227,24.98609519254623,-4.368755192546226,越上限(看多),多头
2017-11-02,15.1751,10.416795,14.664975921693191,25.08177092169319,-4.248180921693191,,多头
